,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
64,HD23596,Gaia DR3 224870885460646016,HD23596,HIP17747,-,TIC201266092,-,-,J03480+4032A,F8,PM*,57.0016,40.5306,03480+4032,,11.6,THE_stellar(RHK+Mamajek)
65,50Per,Gaia DR3 225668203191521280,HD25998,HIP19335,GJ161.1+GJ9145,TIC353257675,-,50Per,J04076+3804E,F8V,RS*,62.1526,38.0397,04076+3804,,1.8,THE_stellar(RHK+Mamajek)
68,HD27495,Gaia DR3 227589290522957440,HD27495,HIP20395,-,TIC288415285,-,-,J04220+3956A,F8,PM*,65.501,39.934,04220+3956,,16.5,THE_stellar(RHK+Mamajek)
71,HD19769,Gaia DR3 240817446194974848,HD19769,HIP14922,-,TIC192693816,-,-,-,G0,PM*,48.1267,43.8606,-,,13.8,THE_stellar(RHK+Mamajek)
72,HD23050,Gaia DR3 243285849800883456,HD23050,HIP17409,-,TIC431871650,-,-,J03438+4236A,G0VgG1mF9,PM*,55.9487,42.6034,03438+4236,,18.7,THE_stellar(RHK+Mamajek)
73,HD23140,Gaia DR3 244808226728958848,HD23140,HIP17491,GJ150.2+GJ9123,TIC431898298,-,-,J03448+4602AB,K0V,SB*,56.2035,46.0358,03448+4602,,27.0,THE_stellar(RHK+Mamajek)
74,HD24421,Gaia DR3 251738448519542144,HD24421,HIP18366,-,TIC403085679,-,-,J03556+5214A,F8VmF1,PM*,58.9045,52.2268,03556+5214,,11.2,THE_stellar(RHK+Mamajek)
75,HD30649,Gaia DR3 254503754623418240,HD30649,HIP22596,GJ9168,TIC21240825,-,-,J04517+4550A,F9VgG1mF7,PM*,72.9316,45.8341,04517+4550,,17.1,THE_stellar(RHK+Mamajek)
76,HD28005,Gaia DR3 257134507991047936,HD28005,HIP20800,-,TIC27936849,-,-,-,G0,PM*,66.8529,46.8532,-,13.8,,THE_rotation_periods
76,HD28005,Gaia DR3 257134507991047936,HD28005,HIP20800,-,TIC27936849,-,-,-,G0,PM*,66.8529,46.8532,-,,21.8,THE_stellar(RHK+Mamajek)
77,HD33580,Gaia DR3 262575540063728384,HD33580,HIP24397,-,TIC446109560,-,-,J05140+5126AB,F8,**,78.5072,51.4307,05140+5126,,12.5,THE_stellar(RHK+Mamajek)
78,HD37394,Gaia DR3 263916708025623680,HD37394,HIP26779,GJ211,TIC311063391,-,-,J05413+5329A,K0V,BY*,85.3347,53.4811,05413+5329,,13.6,THE_stellar(RHK+Mamajek)
79,18Cam,Gaia DR3 269413338450710016,HD36066,HIP25973,-,TIC321436233,-,18Cam,-,F8V,PM*,83.1408,57.2211,-,,11.6,THE_stellar(RHK+Mamajek)
80,HD34575,Gaia DR3 281179246740400384,HD34575,HIP25094,-,TIC320790248,-,-,-,K0,PM*,80.5824,59.2779,-,,29.0,THE_stellar(RHK+Mamajek)
82,HD9091,Gaia DR3 290368930563348480,HD9091,HIP6975,-,TIC381319184,-,-,-,F8,PM*,22.4527,23.6904,-,,13.7,THE_stellar(RHK+Mamajek)
83,HD9472,Gaia DR3 291701396922348672,HD9472,HIP7244,-,TIC18251910,-,-,-,G0,*,23.3293,23.9756,-,,2.7,THE_stellar(RHK+Mamajek)
84,HD8574,Gaia DR3 297045096447719040,HD8574,HIP6643,-,TIC18121498,-,-,-,F8,PM*,21.3021,28.5667,-,,12.9,THE_stellar(RHK+Mamajek)
85,HD9224,Gaia DR3 297159754894750848,HD9224,HIP7090,-,TIC18224448,-,-,-,G0V,PM*,22.8314,29.4131,-,,10.2,THE_stellar(RHK+Mamajek)
86,HD12051,Gaia DR3 304991163902854784,HD12051,HIP9269,GJ82.1,TIC284013790,-,-,J01591+3313A,G9V,PM*,29.7776,33.2097,01591+3313,,37.0,THE_stellar(RHK+Mamajek)
87,HD11007,Gaia DR3 305334280250112896,HD11007,HIP8433,GJ3115,TIC20931913,-,-,-,F8V,PM*,27.1732,32.6902,-,,15.4,THE_stellar(RHK+Mamajek)
88,HD7228,Gaia DR3 314005922300046848,HD7228,HIP5682,-,TIC431365980,-,-,-,F5,PM*,18.2596,33.1549,-,,9.0,THE_stellar(RHK+Mamajek)
91,HD8745,Gaia DR3 322414398818886656,HD8745,HIP6752,-,TIC189358516,-,-,J01269+3730A,F8,PM*,21.7242,37.4922,01269+3730,,8.4,THE_stellar(RHK+Mamajek)
92,HD14348,Gaia DR3 324445853925182720,HD14348,HIP10868,-,TIC285175395,-,-,-,F5,PM*,34.9705,31.3375,-,,9.6,THE_stellar(RHK+Mamajek)
