,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
670,HD6715,Gaia DR3 2790914111658905216,HD6715,HIP5335,-,TIC381270241,-,-,-,G5,PM*,17.052,21.977,-,,21.1,THE_stellar(RHK+Mamajek)
671,39Psc,Gaia DR3 2793413885704410112,HD1352,HIP1427,-,TIC52052933,-,39Psc,J00178+1620A,F6V,PM*,4.4583,16.331,00178+1620,,2.02,THE_VSINI
673,HD483,Gaia DR3 2796824398974914944,HD483,HIP759,-,TIC395353076,-,-,-,G2III,SB*,2.331,17.5339,-,,11.7,THE_stellar(RHK+Mamajek)
674,HD101,Gaia DR3 2797111130991722240,HD101,HIP493,-,TIC258868211,-,-,-,F8,PM*,1.4781,18.235,-,,10.7,THE_stellar(RHK+Mamajek)
675,HD1832,Gaia DR3 2800690281858225408,HD1832,HIP1813,-,TIC238305920,-,-,-,F8,PM*,5.7509,22.375,-,17.4,,THE_YARARA
675,HD1832,Gaia DR3 2800690281858225408,HD1832,HIP1813,-,TIC238305920,-,-,-,F8,PM*,5.7509,22.375,-,,18.5,THE_stellar(RHK+Mamajek)
676,54Psc,Gaia DR3 2802397960855105920,HD3651,HIP3093,GJ27,TIC434210589,-,54Psc,J00394+2115A,K0.5V,PM*,9.8409,21.2505,00394+2115,14.9,42.0,THE_rotation_periods
676,54Psc,Gaia DR3 2802397960855105920,HD3651,HIP3093,GJ27,TIC434210589,-,54Psc,J00394+2115A,K0.5V,PM*,9.8409,21.2505,00394+2115,13.2,40.0,THE_YARARA
676,54Psc,Gaia DR3 2802397960855105920,HD3651,HIP3093,GJ27,TIC434210589,-,54Psc,J00394+2115A,K0.5V,PM*,9.8409,21.2505,00394+2115,,37.4,THE_stellar(RHK+Mamajek)
677,HD5294,Gaia DR3 2804011562888218240,HD5294,HIP4290,GJ42.1+GJ9032,TIC13961725,-,-,J00550+2406A,G5,PM*,13.747,24.1003,00550+2406,,7.3,THE_stellar(RHK+Mamajek)
678,HD218687,Gaia DR3 2815542965962559488,HD218687,HIP114378,-,TIC218046124,-,-,J23100+1426A,G0V,PM*,347.4879,14.4266,23100+1426,,2.6,THE_stellar(RHK+Mamajek)
678,HD218687,Gaia DR3 2815542965962559488,HD218687,HIP114378,-,TIC218046124,-,-,J23100+1426A,G0V,PM*,347.4879,14.4266,23100+1426,,4.02,THE_VSINI
679,HD218133,Gaia DR3 2815678171532956288,HD218133,HIP114028,-,TIC217856007,-,-,-,G0,PM*,346.3798,14.4517,-,,14.2,THE_stellar(RHK+Mamajek)
680,HD219172,Gaia DR3 2817129458162461056,HD219172,HIP114670,-,TIC97187032,-,-,-,F8V,PM*,348.451,15.3676,-,,6.9,THE_stellar(RHK+Mamajek)
683,HD218261,Gaia DR3 2831490694929214464,HD218261,HIP114096,-,TIC245367276,-,-,-,F6V,PM*,346.6328,19.9109,-,,5.2,THE_stellar(RHK+Mamajek)
683,HD218261,Gaia DR3 2831490694929214464,HD218261,HIP114096,-,TIC245367276,-,-,-,F6V,PM*,346.6328,19.9109,-,,5.78,THE_VSINI
684,HD217813,Gaia DR3 2832641058969396864,HD217813,HIP113829,GJ2153,TIC245325810,-,-,-,G1V,BY*,345.7708,20.9186,-,,4.1,THE_stellar(RHK+Mamajek)
686,HD216625,Gaia DR3 2835052150531041920,HD216625,HIP113086,-,TIC435845665,-,-,-,F8,PM*,343.5309,19.892,-,,6.9,THE_stellar(RHK+Mamajek)
687,51Peg,Gaia DR3 2835207319109249920,HD217014,HIP113357,GJ882,TIC139298196,-,51Peg,J22575+2046A,G2IV,PM*,344.3666,20.7688,22575+2046,19.9,24.7,THE_YARARA
687,51Peg,Gaia DR3 2835207319109249920,HD217014,HIP113357,GJ882,TIC139298196,-,51Peg,J22575+2046A,G2IV,PM*,344.3666,20.7688,22575+2046,,21.5,THE_stellar(RHK+Mamajek)
688,HD225097,Gaia DR3 2846469822870413696,HD225097,HIP276,-,TIC238301314,-,-,-,G0,SB*,0.8581,20.6655,-,,17.5,THE_stellar(RHK+Mamajek)
689,85Peg,Gaia DR3 2853900872207888768,HD224930,HIP171,GJ914A+GJ914B,TIC117956546,-,85Peg,J00022+2705AB,G5VbFe-2,SB*,0.5431,27.0818,00022+2705,,27.3,THE_stellar(RHK+Mamajek)
690,HD2330,Gaia DR3 2855866348024648320,HD2330,HIP2174,-,TIC440657017,-,-,-,F8,PM*,6.8612,26.2788,-,,13.0,THE_stellar(RHK+Mamajek)
691,HD166,Gaia DR3 2860924621205256704,HD166,HIP544,GJ5,TIC238432056,-,-,J00066+2901A,G8V,BY*,1.6533,29.0215,00066+2901,,3.4,THE_stellar(RHK+Mamajek)
691,HD166,Gaia DR3 2860924621205256704,HD166,HIP544,GJ5,TIC238432056,-,-,J00066+2901A,G8V,BY*,1.6533,29.0215,00066+2901,27.9,,THE_YARARA
692,HD222033,Gaia DR3 2871126646003024384,HD222033,HIP116542,-,TIC326448025,-,-,-,G0V,PM*,354.2776,30.678,-,,14.6,THE_stellar(RHK+Mamajek)
693,HD221830,Gaia DR3 2871338405072089088,HD221830,HIP116421,-,TIC366036237,-,-,J23355+3101A,G2,PM*,353.8704,31.0172,23355+3101,,24.8,THE_stellar(RHK+Mamajek)
696,HD400,Gaia DR3 2877522230262577024,HD400,HIP699,GJ6,TIC194303203,-,-,-,F8IV,PM*,2.1706,36.6271,-,,5.3,THE_stellar(RHK+Mamajek)
697,HD35850,Gaia DR3 3009908378049913216,HD35850,HIP25486,-,TIC94945758,-,-,-,F8V(n)k:,RS*,81.7698,-11.901,-,,1.0,THE_stellar(RHK+Mamajek)
697,HD35850,Gaia DR3 3009908378049913216,HD35850,HIP25486,-,TIC94945758,-,-,-,F8V(n)k:,RS*,81.7698,-11.901,-,,1.43,THE_VSINI
698,HD38277A,Gaia DR3 3011850012504392960,HD38277A,HIP27058,-,TIC279696912,-,-,J05443-1001A,G1V,PM*,86.0733,-10.0167,05443-1001,,19.4,THE_stellar(RHK+Mamajek)
699,HD36379,Gaia DR3 3013570610764491520,HD36379,HIP25840,-,TIC34507428,-,-,-,G2V,PM*,82.7498,-10.0811,-,19.2,3.2,THE_YARARA
699,HD36379,Gaia DR3 3013570610764491520,HD36379,HIP25840,-,TIC34507428,-,-,-,G2V,PM*,82.7498,-10.0811,-,,13.0,THE_stellar(RHK+Mamajek)
700,HD40397,Gaia DR3 3022685626580347392,HD40397,HIP28267,GJ3376,TIC39543054,-,-,J05584-0439A,F7V,PM*,89.5897,-4.6507,05584-0439,,34.2,THE_stellar(RHK+Mamajek)
700,HD40397,Gaia DR3 3022685626580347392,HD40397,HIP28267,GJ3376,TIC39543054,-,-,J05584-0439A,F7V,PM*,89.5897,-4.6507,05584-0439,,3.3,THE_YARARA
701,HD38858,Gaia DR3 3023711269067191296,HD38858,HIP27435,GJ1085,TIC176521059,-,-,-,G2V,PM*,87.1456,-4.0946,-,,23.2,THE_stellar(RHK+Mamajek)
701,HD38858,Gaia DR3 3023711269067191296,HD38858,HIP27435,GJ1085,TIC176521059,-,-,-,G2V,PM*,87.1456,-4.0946,-,8.4,73.1,THE_YARARA
705,5Pup,Gaia DR3 3036768068439044608,HD63336,HIP38048,-,TIC334453577,-,5Pup,J07479-1212AB,F5.5V,**,116.9863,-12.1927,07479-1212,,3.9,THE_stellar(RHK+Mamajek)
706,HD66488,Gaia DR3 3039796780587564032,HD66488,HIP39425,-,TIC169972229,-,-,J08035-0810A,F7V,*,120.8838,-8.1734,08035-0810,,2.61,THE_VSINI
706,HD66488,Gaia DR3 3039796780587564032,HD66488,HIP39425,-,TIC169972229,-,-,J08035-0810A,F7V,*,120.8838,-8.1734,08035-0810,,3.7,THE_stellar(RHK+Mamajek)
707,HD62128,Gaia DR3 3039938583230568960,HD62128,HIP37520,-,TIC62355113,-,-,-,G3V,PM*,115.5082,-11.8527,-,24.8,,THE_YARARA
707,HD62128,Gaia DR3 3039938583230568960,HD62128,HIP37520,-,TIC62355113,-,-,-,G3V,PM*,115.5082,-11.8527,-,,19.1,THE_stellar(RHK+Mamajek)
708,HD62816,Gaia DR3 3040589665910761344,HD62816,HIP37844,-,TIC31774464,-,-,-,F5V,*,116.3718,-10.1607,-,,4.6,THE_stellar(RHK+Mamajek)
708,HD62816,Gaia DR3 3040589665910761344,HD62816,HIP37844,-,TIC31774464,-,-,-,F5V,*,116.3718,-10.1607,-,,3.19,THE_VSINI
712,HD50639,Gaia DR3 3050309864100076544,HD50639,HIP33109,-,TIC123838254,-,-,-,F8.5V,PM*,103.4368,-9.5155,-,,8.1,THE_stellar(RHK+Mamajek)
713,HD59984,Gaia DR3 3053492881541641600,HD59984,HIP36640,GJ3449,TIC6677245,-,-,J07321-0853A,G0VFe-1.6CH-,PM*,113.024,-8.8813,07321-0853,20.2,,THE_YARARA
713,HD59984,Gaia DR3 3053492881541641600,HD59984,HIP36640,GJ3449,TIC6677245,-,-,J07321-0853A,G0VFe-1.6CH-,PM*,113.024,-8.8813,07321-0853,,13.1,THE_stellar(RHK+Mamajek)
714,HD61383,Gaia DR3 3056203899255907328,HD61383,HIP37233,-,TIC65953626,-,-,-,G3V,PM*,114.7139,-5.4655,-,27.0,,THE_YARARA
714,HD61383,Gaia DR3 3056203899255907328,HD61383,HIP37233,-,TIC65953626,-,-,-,G3V,PM*,114.7139,-5.4655,-,,23.8,THE_stellar(RHK+Mamajek)
715,HD61606,Gaia DR3 3057712223051571200,HD61606,HIP37349,GJ282+GJ282A,TIC66100263,-,-,J07400-0336A,K3V,BY*,114.9972,-3.5975,07400-0336,,12.9,THE_stellar(RHK+Mamajek)
716,HD60779,Gaia DR3 3060787930730737920,HD60779,HIP36976,GJ9237,TIC65672998,-,-,-,G1V,PM*,114.006,-3.1518,-,,6.7,THE_YARARA
716,HD60779,Gaia DR3 3060787930730737920,HD60779,HIP36976,GJ9237,TIC65672998,-,-,-,G1V,PM*,114.006,-3.1518,-,,16.0,THE_stellar(RHK+Mamajek)
717,HD58556,Gaia DR3 3061562747131020416,HD58556,HIP36071,-,TIC64408446,-,-,-,G1V,*,111.4884,-2.2485,-,,4.83,THE_VSINI
717,HD58556,Gaia DR3 3061562747131020416,HD58556,HIP36071,-,TIC64408446,-,-,-,G1V,*,111.4884,-2.2485,-,,7.2,THE_stellar(RHK+Mamajek)
718,HD71479,Gaia DR3 3065191272937568896,HD71479,HIP41479,-,TIC169108295,-,-,-,G2/3V,PM*,126.8964,-5.1486,-,,13.3,THE_stellar(RHK+Mamajek)
718,HD71479,Gaia DR3 3065191272937568896,HD71479,HIP41479,-,TIC169108295,-,-,-,G2/3V,PM*,126.8964,-5.1486,-,16.3,,THE_YARARA
719,HD72528,Gaia DR3 3065324485643480320,HD72528,HIP41968,-,TIC121232944,-,-,-,F8/G0V,PM*,128.3233,-5.3279,-,,7.4,THE_stellar(RHK+Mamajek)
720,HD69965,Gaia DR3 3065896266049916672,HD69965,HIP40765,-,TIC178645961,-,-,-,G1V,*,124.8129,-5.6195,-,,13.6,THE_stellar(RHK+Mamajek)
721,1Hya,Gaia DR3 3066710282611675776,HD70958,HIP41211,GJ306,TIC168975758,-,1Hya,"J08246-0345Aa,Ab",F6V,SB*,126.1459,-3.7512,08246-0345,,1.0,THE_stellar(RHK+Mamajek)
721,1Hya,Gaia DR3 3066710282611675776,HD70958,HIP41211,GJ306,TIC168975758,-,1Hya,"J08246-0345Aa,Ab",F6V,SB*,126.1459,-3.7512,08246-0345,,1.76,THE_VSINI
723,HD72659,Gaia DR3 3073443760538892032,HD72659,HIP42030,-,TIC121284864,-,-,-,G2V,PM*,128.5133,-1.5682,-,28.4,,THE_YARARA
723,HD72659,Gaia DR3 3073443760538892032,HD72659,HIP42030,-,TIC121284864,-,-,-,G2V,PM*,128.5133,-1.5682,-,,14.5,THE_stellar(RHK+Mamajek)
724,HD72760,Gaia DR3 3073562610873679872,HD72760,HIP42074,GJ3507,TIC121286109,-,-,J08345-0044A,K0V,PM*,128.6319,-0.7261,08345-0044,,6.7,THE_stellar(RHK+Mamajek)
726,HD70110,Gaia DR3 3077104721942993920,HD70110,HIP40858,GJ2067,TIC178650755,-,-,-,G0V,PM*,125.0542,-0.9093,-,,15.1,THE_stellar(RHK+Mamajek)
728,HD71640,Gaia DR3 3077874483161655552,HD71640,HIP41573,-,TIC265075778,-,-,-,F6V,*,127.1502,1.2476,-,,8.6,THE_stellar(RHK+Mamajek)
729,HD64606,Gaia DR3 3082317193037072256,HD64606,HIP38625,GJ292.2+GJ9245,TIC123089572,-,-,J07546-0125A,K0V,SB*,118.6424,-1.4123,07546-0125,,40.8,THE_stellar(RHK+Mamajek)
730,HD52265,Gaia DR3 3101382419728401408,HD52265,HIP33719,-,TIC268565917,-,-,-,G0V,PM*,105.0752,-5.3672,-,29.7,8.6,THE_YARARA
730,HD52265,Gaia DR3 3101382419728401408,HD52265,HIP33719,-,TIC268565917,-,-,-,G0V,PM*,105.0752,-5.3672,-,,9.5,THE_stellar(RHK+Mamajek)
731,HD50281A,Gaia DR3 3101923001490347392,HD50281A,HIP32984,GJ250A,TIC282210766,-,-,J06523-0510A,K3.5V,PM*,103.0752,-5.1737,06523-0510,,18.8,THE_stellar(RHK+Mamajek)
732,HD49503A,Gaia DR3 3102372804823185920,HD49503A,HIP32644,-,TIC36346568,-,-,J06486-0405A,F5/6V,PM*,102.149,-4.0759,06486-0405,,7.13,THE_VSINI
734,HD56303,Gaia DR3 3111942885310862848,HD56303,HIP35209,-,TIC284620820,-,-,-,G2V,PM*,109.1518,1.8788,-,,13.5,THE_stellar(RHK+Mamajek)
735,HD51219,Gaia DR3 3113909602378333056,HD51219,HIP33382,-,TIC301780349,-,-,-,G8V,PM*,104.1424,1.1621,-,,24.5,THE_stellar(RHK+Mamajek)
736,HD45067,Gaia DR3 3118434397663311360,HD45067,HIP30545,-,TIC42334982,-,-,-,F9V,PM*,96.3189,-0.9459,-,,8.17,THE_VSINI
736,HD45067,Gaia DR3 3118434397663311360,HD45067,HIP30545,-,TIC42334982,-,-,-,F9V,PM*,96.3189,-0.9459,-,,9.2,THE_stellar(RHK+Mamajek)
737,HD44420,Gaia DR3 3118688251708604928,HD44420,HIP30243,-,TIC251216282,-,-,-,G6V,PM*,95.4314,-0.5391,-,13.4,,THE_YARARA
737,HD44420,Gaia DR3 3118688251708604928,HD44420,HIP30243,-,TIC251216282,-,-,-,G6V,PM*,95.4314,-0.5391,-,,19.2,THE_stellar(RHK+Mamajek)
738,HD50867,Gaia DR3 3129765728281334016,HD50867,HIP33275,-,TIC237666892,-,-,-,F8,*,103.8227,5.9105,-,,9.2,THE_stellar(RHK+Mamajek)
739,HD46090,Gaia DR3 3130091149360313984,HD46090,HIP31083,-,TIC234831602,-,-,J06314+0255A,G3/5V,PM*,97.8395,2.9113,06314+0255,,26.1,THE_stellar(RHK+Mamajek)
740,HD44966,Gaia DR3 3131495878545906688,HD44966,HIP30513,-,TIC234568937,-,-,-,F5/6V,PM*,96.2091,4.872,-,,3.8,THE_VSINI
741,HD66573,Gaia DR3 3146303001634267392,HD66573,HIP39506,-,TIC443846457,-,-,-,G5VFe-1.3CH-,SB*,121.1244,9.2679,-,,16.5,THE_stellar(RHK+Mamajek)
742,HD63107,Gaia DR3 3148814698509975936,HD63107,HIP38021,-,TIC453207964,-,-,-,F8,SB*,116.8856,9.6326,-,,10.2,THE_stellar(RHK+Mamajek)
742,HD63107,Gaia DR3 3148814698509975936,HD63107,HIP38021,-,TIC453207964,-,-,-,F8,SB*,116.8856,9.6326,-,,2.94,THE_VSINI
744,HD30743,Gaia DR3 3179824465465177984,HD30743,HIP22439,-,TIC114922178,-,-,-,F6VFe-0.9CH-,PM*,72.426,-13.7697,-,,2.0,THE_stellar(RHK+Mamajek)
745,HD32724,Gaia DR3 3181805854137838464,HD32724,HIP23627,-,TIC43650034,-,-,-,G2V,PM*,76.1982,-11.699,-,,21.1,THE_stellar(RHK+Mamajek)
746,HD30562,Gaia DR3 3188395880157173120,HD30562,HIP22336,GJ177.1,TIC176379354,-,-,-,G2IV,PM*,72.1516,-5.674,-,,19.8,THE_stellar(RHK+Mamajek)
747,HD26040,Gaia DR3 3190783297858653952,HD26040,HIP19206,-,TIC34269291,-,-,J04070-1000AB,G1/2V,**,61.7524,-10.0005,04070-1000,,12.9,THE_stellar(RHK+Mamajek)
747,HD26040,Gaia DR3 3190783297858653952,HD26040,HIP19206,-,TIC34269291,-,-,J04070-1000AB,G1/2V,**,61.7524,-10.0005,04070-1000,,6.89,THE_VSINI
748,HD26965,Gaia DR3 3195919528989223040,HD26965,HIP19849,GJ166A,TIC67772871,-,40Eri+omi02Eri,J04153-0739A,K0V,PM*,63.818,-7.6529,04153-0739,10.3,39.8,THE_YARARA
748,HD26965,Gaia DR3 3195919528989223040,HD26965,HIP19849,GJ166A,TIC67772871,-,40Eri+omi02Eri,J04153-0739A,K0V,PM*,63.818,-7.6529,04153-0739,,43.8,THE_stellar(RHK+Mamajek)
749,HD28821,Gaia DR3 3201236698501590272,HD28821,HIP21172,-,TIC248689603,-,-,-,G3V,*,68.0895,-5.039,-,,21.9,THE_stellar(RHK+Mamajek)
752,HD35627,Gaia DR3 3208926854625048064,HD35627,HIP25388,-,TIC24722438,-,-,-,F8/G0V,PM*,81.4717,-6.3627,-,,6.69,THE_VSINI
752,HD35627,Gaia DR3 3208926854625048064,HD35627,HIP25388,-,TIC24722438,-,-,-,F8/G0V,PM*,81.4717,-6.3627,-,,7.9,THE_stellar(RHK+Mamajek)
755,HD36003,Gaia DR3 3210731015768096000,HD36003,HIP25623,GJ204,TIC50587969,-,-,J05284-0330A,K5V,PM*,82.1087,-3.4996,05284-0330,10.0,52.8,THE_YARARA
755,HD36003,Gaia DR3 3210731015768096000,HD36003,HIP25623,GJ204,TIC50587969,-,-,J05284-0330A,K5V,PM*,82.1087,-3.4996,05284-0330,,45.4,THE_stellar(RHK+Mamajek)
755,HD36003,Gaia DR3 3210731015768096000,HD36003,HIP25623,GJ204,TIC50587969,-,-,J05284-0330A,K5V,PM*,82.1087,-3.4996,05284-0330,,50.2,Yu+24
756,HD32147,Gaia DR3 3211461469444773376,HD32147,HIP23311,GJ183,TIC213041474,-,-,-,K3+V,PM*,75.2042,-5.7537,-,,47.7,THE_stellar(RHK+Mamajek)
756,HD32147,Gaia DR3 3211461469444773376,HD32147,HIP23311,GJ183,TIC213041474,-,-,-,K3+V,PM*,75.2042,-5.7537,-,10.6,41.9,THE_YARARA
760,HD39833,Gaia DR3 3218445979621236992,HD39833,HIP27980,-,TIC39292359,-,-,-,G3V,PM*,88.7582,-0.508,-,,11.3,THE_stellar(RHK+Mamajek)
763,HD29356,Gaia DR3 3230677565443833088,HD29356,HIP21537,-,TIC262412747,-,-,J04374+0034A,F7/G0,*,69.3613,0.5531,04374+0034,,12.1,THE_stellar(RHK+Mamajek)
764,HD29355,Gaia DR3 3230677874682668672,HD29355,HIP21534,-,TIC262412757,-,-,J04374+0034B,F3/6,*,69.3587,0.5746,04374+0034,,12.8,THE_stellar(RHK+Mamajek)
765,HD34745,Gaia DR3 3234481566438473600,HD34745,HIP24864,-,TIC449310490,-,-,-,F7V,PM*,79.9543,2.5136,-,11.8,,THE_YARARA
765,HD34745,Gaia DR3 3234481566438473600,HD34745,HIP24864,-,TIC449310490,-,-,-,F7V,PM*,79.9543,2.5136,-,,10.2,THE_stellar(RHK+Mamajek)
766,HD33636,Gaia DR3 3238810137558836352,HD33636,HIP24205,-,TIC262300150,-,-,-,G0V_CH-0.3,Pe*,77.9435,4.4035,-,,9.8,THE_stellar(RHK+Mamajek)
767,HD31412,Gaia DR3 3239548665775613056,HD31412,HIP22919,GJ9169,TIC262501618,-,-,"J04559+0440Aa,Ab",F9.5V,**,73.9829,4.6704,04559+0440,,10.3,THE_stellar(RHK+Mamajek)
768,HD34445,Gaia DR3 3241295308714904960,HD34445,HIP24681,-,TIC284907742,-,-,-,G0,PM*,79.4208,7.3533,-,,24.3,THE_stellar(RHK+Mamajek)
769,HD33313,Gaia DR3 3241699825915136768,HD33313,HIP24021,-,TIC408042385,-,-,-,F8,PM*,77.4413,7.1816,-,,7.6,THE_stellar(RHK+Mamajek)
770,HD24727,Gaia DR3 3246552451764804992,HD24727,HIP18388,-,TIC425164208,-,-,-,F5V,PM*,58.9556,-4.5268,-,,5.1,THE_stellar(RHK+Mamajek)
771,HD22879,Gaia DR3 3250489115709122560,HD22879,HIP17147,GJ147.1+GJ9121,TIC301564622,-,-,J03404-0313A,G0VmF2,Pe*,55.0919,-3.217,03404-0313,,17.8,THE_stellar(RHK+Mamajek)
771,HD22879,Gaia DR3 3250489115709122560,HD22879,HIP17147,GJ147.1+GJ9121,TIC301564622,-,-,J03404-0313A,G0VmF2,Pe*,55.0919,-3.217,03404-0313,27.0,13.3,THE_YARARA
772,HD25457,Gaia DR3 3256786534197166208,HD25457,HIP18859,GJ159,TIC9150015,-,-,-,F7V,TT*,60.6531,-0.2689,-,,1.0,THE_stellar(RHK+Mamajek)
772,HD25457,Gaia DR3 3256786534197166208,HD25457,HIP18859,GJ159,TIC9150015,-,-,-,F7V,TT*,60.6531,-0.2689,-,6.9,,THE_YARARA
772,HD25457,Gaia DR3 3256786534197166208,HD25457,HIP18859,GJ159,TIC9150015,-,-,-,F7V,TT*,60.6531,-0.2689,-,,1.8,THE_VSINI
773,HD20385,Gaia DR3 3261733202649972992,HD20385,HIP15247,-,TIC49906916,-,-,"J03167-0332Aa,Ab",F6V,**,49.1694,-3.5303,03167-0332,,1.51,THE_VSINI
774,HD20619,Gaia DR3 3261878613062758144,HD20619,HIP15442,GJ135,TIC279069526,-,-,-,G1.5V,PM*,49.7579,-2.8432,-,4.4,19.5,THE_YARARA
774,HD20619,Gaia DR3 3261878613062758144,HD20619,HIP15442,GJ135,TIC279069526,-,-,-,G1.5V,PM*,49.7579,-2.8432,-,,17.8,THE_stellar(RHK+Mamajek)
775,10Tau,Gaia DR3 3263836568394170880,HD22484,HIP16852,GJ147,TIC311092847,-,10Tau,-,F9IV-V,PM*,54.2183,0.4017,-,,13.4,THE_stellar(RHK+Mamajek)
776,HD20630,Gaia DR3 3269362645115584640,HD20630,HIP15457,GJ137,TIC343813545,-,96Cet+kapCet+kap01Cet,J03194+0322A,G5V,BY*,49.8404,3.3702,03194+0322,,3.9,THE_stellar(RHK+Mamajek)
777,HD22255,Gaia DR3 3276017095645265664,HD22255,HIP16723,-,TIC274150483,-,-,J03352+0543A,F5,Em*,53.7923,5.714,03352+0543,,8.7,THE_stellar(RHK+Mamajek)
777,HD22255,Gaia DR3 3276017095645265664,HD22255,HIP16723,-,TIC274150483,-,-,J03352+0543A,F5,Em*,53.7923,5.714,03352+0543,,6.48,THE_VSINI
778,HD27642,Gaia DR3 3280086388180617600,HD27642,HIP20373,-,TIC454150332,-,-,-,G0V,SB*,65.443,2.3901,-,,10.0,THE_stellar(RHK+Mamajek)
779,HD28069,Gaia DR3 3284145132275338496,HD28069,HIP20693,-,TIC448847484,-,-,-,F7V,PM*,66.4889,5.1501,-,,1.41,THE_VSINI
779,HD28069,Gaia DR3 3284145132275338496,HD28069,HIP20693,-,TIC448847484,-,-,-,F7V,PM*,66.4889,5.1501,-,,2.2,THE_stellar(RHK+Mamajek)
780,HD26923,Gaia DR3 3285218186904332288,HD26923,HIP19859,-,TIC283792884,-,-,J04155+0611A,G0IV,PM*,63.87,6.1869,04155+0611,,3.0,THE_stellar(RHK+Mamajek)
780,HD26923,Gaia DR3 3285218186904332288,HD26923,HIP19859,-,TIC283792884,-,-,J04155+0611A,G0IV,PM*,63.87,6.1869,04155+0611,8.4,,THE_YARARA
781,HD26913,Gaia DR3 3285218255623808640,HD26913,HIP19855,-,TIC283792891,-,-,J04155+0611B,G6V,BY*,63.8574,6.1997,04155+0611,,4.0,THE_stellar(RHK+Mamajek)
781,HD26913,Gaia DR3 3285218255623808640,HD26913,HIP19855,-,TIC283792891,-,-,J04155+0611B,G6V,BY*,63.8574,6.1997,04155+0611,29.5,,THE_YARARA
782,HD30652,Gaia DR3 3288921720025503360,HD30652,HIP22449,GJ178,TIC399665349,-,1Ori+pi.03Ori,J04498+0658A,F6V,PM*,72.46,6.9613,04498+0658,4.1,,THE_YARARA
782,HD30652,Gaia DR3 3288921720025503360,HD30652,HIP22449,GJ178,TIC399665349,-,1Ori+pi.03Ori,J04498+0658A,F6V,PM*,72.46,6.9613,04498+0658,,5.5,THE_stellar(RHK+Mamajek)
782,HD30652,Gaia DR3 3288921720025503360,HD30652,HIP22449,GJ178,TIC399665349,-,1Ori+pi.03Ori,J04498+0658A,F6V,PM*,72.46,6.9613,04498+0658,,2.11,THE_VSINI
783,13Ori,Gaia DR3 3290765291786058496,HD33021,HIP23852,GJ3334,TIC284794221,-,13Ori,J05076+0928A,G3,PM*,76.9096,9.4718,05076+0928,,23.1,THE_stellar(RHK+Mamajek)
784,HD30311,Gaia DR3 3292800109852528512,HD30311,HIP22221,-,TIC450077414,-,-,-,F9.5V,PM*,71.69,9.0174,-,,3.7,THE_stellar(RHK+Mamajek)
785,HD31253,Gaia DR3 3295354481521174656,HD31253,HIP22826,-,TIC436700755,-,-,J04547+1221A,F8,PM*,73.6819,12.3522,04547+1221,,10.3,THE_stellar(RHK+Mamajek)
786,HD29862,Gaia DR3 3295891077555760000,HD29862,HIP21918,-,TIC436564830,-,-,-,G5,PM*,70.7035,12.2098,-,,23.5,THE_stellar(RHK+Mamajek)
787,HD26990,Gaia DR3 3297396274614449920,HD26990,HIP19911,-,TIC283826260,-,-,J04163+0710AB,G0V:,**,64.0688,7.1594,04163+0710,15.7,,THE_YARARA
787,HD26990,Gaia DR3 3297396274614449920,HD26990,HIP19911,-,TIC283826260,-,-,J04163+0710AB,G0V:,**,64.0688,7.1594,04163+0710,,10.2,THE_stellar(RHK+Mamajek)
788,HD26784,Gaia DR3 3300934223858467072,HD26784,HIP19796,-,TIC283751025,-,-,-,F8V,PM*,63.6431,10.7014,-,,2.26,THE_VSINI
789,HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,TIC407966340,-,-,-,F8,MS*,60.7479,9.2085,-,,4.67,THE_VSINI
789,HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,TIC407966340,-,-,-,F8,MS*,60.7479,9.2085,-,,4.1,THE_stellar(RHK+Mamajek)
790,HD26749,Gaia DR3 3304387519299731200,HD26749,HIP19767,-,TIC434229814,-,-,-,G2V,PM*,63.5762,12.3481,-,,18.1,THE_stellar(RHK+Mamajek)
791,HD28608,Gaia DR3 3305871825637254912,HD28608,HIP21066,-,TIC373052731,-,-,-,F7V,PM*,67.7382,10.7518,-,,1.51,THE_VSINI
791,HD28608,Gaia DR3 3305871825637254912,HD28608,HIP21066,-,TIC373052731,-,-,-,F7V,PM*,67.7382,10.7518,-,,2.0,THE_stellar(RHK+Mamajek)
792,HD28237,Gaia DR3 3306922958753764992,HD28237,HIP20826,-,TIC373027194,-,-,-,F8,PM*,66.942,11.7364,-,,3.85,THE_VSINI
792,HD28237,Gaia DR3 3306922958753764992,HD28237,HIP20826,-,TIC373027194,-,-,-,F8,PM*,66.942,11.7364,-,,3.1,THE_stellar(RHK+Mamajek)
793,HD29310,Gaia DR3 3309493720019304576,HD29310,HIP21543,-,TIC245902283,-,-,J04375+1509AB,G0,BY*,69.3833,15.1465,04375+1509,,4.47,THE_VSINI
793,HD29310,Gaia DR3 3309493720019304576,HD29310,HIP21543,-,TIC245902283,-,-,J04375+1509AB,G0,BY*,69.3833,15.1465,04375+1509,,3.0,THE_stellar(RHK+Mamajek)
