,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,OBTP,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score,Rank_2ES
922,HD101690,Gaia DR3 3897069641524877184,HD101690,HIP57083,-,TIC281909755,-,-,G0,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,17Vir,Gaia DR3 3900151160301345152,HD107705,HIP60353,-,TIC377227654,-, 17 Vir,F8V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,HD106423,Gaia DR3 3904895793493364608,HD106423,HIP59690,-,TIC397583143,-,-,G0,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,HD106252,Gaia DR3 3905603054348141440,HD106252,HIP59610,-,TIC397558558,-,-,G0,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,HD106210,Gaia DR3 3906535027891367040,HD106210,HIP59589,-,TIC397558463,-,-,G3V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,HD101242,Gaia DR3 3909362834358280576,HD101242,HIP56832,-,TIC388907349,-,-,G5,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,HD101676,Gaia DR3 3916887136024599296,HD101676,HIP57080,-,TIC82546579,-,-,F6V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,HD102988,Gaia DR3 3919566955099316352,HD102988,HIP57821,-,TIC291073912,-,-,-,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,HD111398,Gaia DR3 3928040444539772800,HD111398,HIP62536,-,TIC402133995,-,-,G5V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,HD115404,Gaia DR3 3936909723803146368,HD115404,HIP64797,GJ505A,TIC373765355,-,-,K2V,HighPM*,3.936909723803146e+18,3.936909723803146e+18,199.2156717072334,17.01600170156696,6.533892025775909,6.29768180847168,6.763493537902832,5.662589073181152,1.10090446472168,91.01762240593436,4876.54,0.7660175,0.30242664,0.7704703,0.7902860080872891,293.1570591856556,0.1248975424684753,1.086854431821432,0.0329496346169858,0.2867266697373721,0.1734782558365899,0.6252725188731246,0.3674932885853415,0.6575796083194795,1.674830976344968,4.5324,-4.5040145351,8.190980117337912,HD_number_match,K,HD 115404,GJ 505,64797.0,PM*,GAIA,K2V,K2V,10.98688334815039,0.0,0.0,1.0,0.0,1.0,49.0
