,Rank,starname,V,Teff (K),log g,Δ,t_exp (s),rms (m/s),N_obs,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,Nobs tot,RV RMS tot
89,90.0,HD62613,6.55,5493.0,4.5,0.76,758.0,3.8,30.0,3.889,,,,,,,,,,,
90,91.0,HD130992,7.81,4767.0,4.51,2.36,1846.0,3.17,51.0,3.879,,,,,,,,,,,
91,92.0,HD219623,5.58,6059.0,4.21,4.21,1062.0,6.92,20.0,3.878,,,,,,,,,,,
92,93.0,HD23923,5.0,5725.0,4.13,2.56,655.0,8.08,21.0,3.875,,,,,,,,,,,
93,94.0,HD180161,7.04,5396.0,4.51,4.45,1046.0,7.3,14.0,3.872,,,,,,,,,,,
94,95.0,HD4915,6.98,5668.0,4.56,2.72,1118.0,5.45,40.0,3.868,,,,,,,,,,,
95,96.0,HD220339,7.8,4953.0,4.56,2.32,1908.0,3.15,53.0,3.865,,,,,,,,,,,
96,97.0,HD224619,7.47,5453.0,4.49,3.05,1666.0,4.09,33.0,3.864,,,,,,,,,,,
97,98.0,HD28005,6.72,5747.0,4.24,2.65,1234.0,4.98,57.0,3.864,,,,,,,,,,,
98,99.0,HD37394,6.21,5249.0,4.5,5.27,498.0,14.66,13.0,3.864,,,,,,,,,,,
99,100.0,HD216520,7.53,5082.0,4.54,1.44,1522.0,3.08,185.0,3.86,,,,,,,,,,,
100,,HD51419,,,,,,,,,950.0,,32.0,55.0,,1.0,1.12,,1.34,87.0,1.04
101,,HD127334,,,,,,,,,1270.0,25.0,44.0,115.0,0.94,1.14,0.99,1.02,1.24,184.0,0.949
102,,HD210091,,,,,,,,,1107.0,7.0,30.0,49.0,1.94,2.18,2.16,,1.94,86.0,1.98
