,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,distance,vmag,PLATO
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,16.814,5.903,0
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,47.34,7.52,0
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,29.797,7.575,0
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,43.089,7.29,0
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,39.053,6.787,0
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,36.603,7.28,0
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,60.447,7.36,0
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,29.28,6.012,0
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,33.126,7.304,0
21,23Ari,Gaia DR3 87044422856456192,HD14305,HIP10810,-,TIC246942458,-,23Ari,-,F8,PM*,34.7863,19.6877,32.445,6.833,0
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,7.644,5.252,0
23,HD12413,Gaia DR3 97594065126285952,HD12413,HIP9492,-,TIC306216985,-,-,-,F8V,PM*,30.5299,22.1041,52.945,7.209,0
24,HD13382,Gaia DR3 100254161710940928,HD13382,HIP10218,-,TIC306426710,-,-,-,G5V,BY*,32.8464,21.3773,31.471,7.33,0
25,HD13825,Gaia DR3 101309452355657216,HD13825,HIP10505,-,TIC118295030,-,-,-,G5IV-V,PM*,33.8517,24.2713,25.747,6.81,0
26,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,44.423,7.092,0
27,HD12846,Gaia DR3 104453918172129792,HD12846,HIP9829,-,TIC405376575,-,-,-,G2V,PM*,31.626,24.334,23.745,6.91,0
28,lamAriB,Gaia DR3 104717285566534016,HD11973B,-,-,TIC60986644,-,lamAriB,J01579+2336B,G0,PM*,29.4905,23.6031,40.278,7.368,0
29,HD12661,Gaia DR3 105332908999068032,HD12661,HIP9683,-,TIC118268680,-,-,-,K0V,PM*,31.1429,25.4143,37.791,7.43,0
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,39.561,6.604,0
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,39.208,7.056,0
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,22.951,7.612,0
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,21.195,6.616,0
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,22.506,7.518,0
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,-,F8V,PM*,49.4169,31.127,26.058,6.41,0
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,-,G0V,PM*,42.7679,30.2867,44.398,7.535,0
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,-,G0V,PM*,39.6161,30.8166,34.572,7.359,0
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,-,F5,PM*,49.0073,35.0452,56.242,7.57,0
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,38.754,7.36,0
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,50.27,7.105,0
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,-,G5,*,69.0582,21.5365,33.895,7.58,0
42,HD28676,Gaia DR3 144978858756826368,HD28676,HIP21158,-,TIC430314524,-,-,-,F5,*,68.0329,21.6324,38.826,7.08,0
43,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,47.569,7.38,0
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,-,F8V,PM*,66.0607,21.7362,43.102,7.135,0
45,HD29419,Gaia DR3 146677879098433152,HD29419,HIP21637,-,TIC118678954,-,-,-,G5V,PM*,69.7137,23.15,43.413,7.53,0
46,HD26710,Gaia DR3 150694566874541824,HD26710,-,-,TIC56628845,-,-,-,G2V,PM*,63.6341,26.2559,30.161,7.158,0
47,HD25768,Gaia DR3 162480953568960256,HD25768,HIP19136,-,TIC348870795,-,-,-,F8,SB*,61.519,26.2118,54.535,7.55,0
48,HD26161,Gaia DR3 169149766470219520,HD26161,HIP19428,-,TIC467753728,-,-,J04096+3139A,G0,PM*,62.4119,31.6521,40.906,6.893,0
49,HD30708,Gaia DR3 174156255225869440,HD30708,HIP22576,-,TIC96211765,-,-,-,G5,PM*,72.8727,35.8151,30.036,6.786,0
50,HD29645,Gaia DR3 175618983647633920,HD29645,HIP21847,-,TIC156157340,-,-,-,F9IV-V,PM*,70.4594,38.2802,31.694,5.979,0
51,HD28620,Gaia DR3 178112641659509760,HD28620,HIP21167,-,TIC155401087,-,-,-,F5,*,68.0719,37.0432,45.386,6.811,0
52,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,J05280+3346A,F7V,PM*,82.0039,33.7637,34.254,6.41,0
53,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,26.388,6.489,0
54,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,12.562,4.701,0
55,HD36929A,Gaia DR3 194405990937384064,HD36929A,-,-,-,-,-,J05371+4150A,-,*,84.28,41.8283,43.781,7.344,0
56,HD31500A,Gaia DR3 199279271288398720,HD31500A,HIP23100,-,TIC121298627,-,-,J04582+4003A,F5,PM*,74.5541,40.0569,48.381,7.21,0
57,HD29587,Gaia DR3 204358907633155840,HD29587,HIP21832,-,TIC391095065,-,-,-,G2V,SB*,70.4013,42.1184,27.287,7.294,0
58,HD37008,Gaia DR3 215395053733297024,HD37008,HIP26505,GJ3358,TIC310872966,-,-,-,K1V,PM*,84.5494,51.4457,20.438,7.74,0
59,HD38007,Gaia DR3 215521394490842624,HD38007,HIP27165,-,TIC311386419,-,-,-,G0,PM*,86.3745,52.1612,46.789,6.817,0
60,HD37693,Gaia DR3 215599288018509824,HD37693,HIP26974,-,TIC311223680,-,-,-,G0,PM*,85.8619,52.4888,30.937,7.152,0
61,HD22692A,Gaia DR3 218231518853187712,HD22692A,-,-,-,-,-,"J03401+3407Aa,Ab",-,**,55.03,34.1165,45.301,7.432,0
62,HD22692B,Gaia DR3 218231518853187840,HD22692B,-,-,-,-,-,J03401+3407B,-,PM*,55.0306,34.1167,45.277,7.541,0
63,HD21847,Gaia DR3 221991882981235072,HD21847,HIP16517,-,TIC90665203,-,-,J03327+3540AB,F8,**,53.1663,35.6593,51.579,7.29,0
64,HD23596,Gaia DR3 224870885460646016,HD23596,HIP17747,-,TIC201266092,-,-,J03480+4032A,F8,PM*,57.0016,40.5306,51.747,7.261,0
65,50Per,Gaia DR3 225668203191521280,HD25998,HIP19335,GJ161.1+GJ9145,TIC353257675,-,50Per,J04076+3804E,F8V,RS*,62.1526,38.0397,21.192,5.522,0
66,HD25893A,Gaia DR3 225709641034907264,HD25893A,-,GJ160.1A,TIC664915372,-,-,J04076+3804A,-,PM*,61.8932,38.0745,21.13,7.219,0
67,HD25444A,Gaia DR3 226778843075710976,HD25444A,-,-,-,-,-,J04041+3931A,-,PM*,61.0296,39.5097,33.985,7.306,0
68,HD27495,Gaia DR3 227589290522957440,HD27495,HIP20395,-,TIC288415285,-,-,J04220+3956A,F8,PM*,65.501,39.934,54.0,7.02,0
69,HD20427,Gaia DR3 235526768040172672,HD20427,-,-,TIC178103825,-,-,-,F5,PM*,49.6332,38.4587,61.117,7.333,0
70,HD22521,Gaia DR3 237507744398899200,HD22521,HIP17022,-,TIC65577318,-,-,J03390+4232AB,G0,SB*,54.7383,42.5383,45.054,6.707,0
71,HD19769,Gaia DR3 240817446194974848,HD19769,HIP14922,-,TIC192693816,-,-,-,G0,PM*,48.1267,43.8606,43.103,7.58,0
72,HD23050,Gaia DR3 243285849800883456,HD23050,HIP17409,-,TIC431871650,-,-,J03438+4236A,G0VgG1mF9,PM*,55.9487,42.6034,45.554,7.481,0
73,HD23140,Gaia DR3 244808226728958848,HD23140,HIP17491,GJ150.2+GJ9123,TIC431898298,-,-,J03448+4602AB,K0V,SB*,56.2035,46.0358,24.797,7.689,0
74,HD24421,Gaia DR3 251738448519542144,HD24421,HIP18366,-,TIC403085679,-,-,J03556+5214A,F8VmF1,PM*,58.9045,52.2268,39.559,6.828,0
75,HD30649,Gaia DR3 254503754623418240,HD30649,HIP22596,GJ9168,TIC21240825,-,-,J04517+4550A,F9VgG1mF7,PM*,72.9316,45.8341,31.027,6.97,0
76,HD28005,Gaia DR3 257134507991047936,HD28005,HIP20800,-,TIC27936849,-,-,-,G0,PM*,66.8529,46.8532,30.187,6.731,0
77,HD33580,Gaia DR3 262575540063728384,HD33580,HIP24397,-,TIC446109560,-,-,J05140+5126AB,F8,**,78.5072,51.4307,56.156,7.19,0
78,HD37394,Gaia DR3 263916708025623680,HD37394,HIP26779,GJ211,TIC311063391,-,-,J05413+5329A,K0V,BY*,85.3347,53.4811,12.27,6.222,0
79,18Cam,Gaia DR3 269413338450710016,HD36066,HIP25973,-,TIC321436233,-,18Cam,-,F8V,PM*,83.1408,57.2211,43.203,6.461,0
80,HD34575,Gaia DR3 281179246740400384,HD34575,HIP25094,-,TIC320790248,-,-,-,K0,PM*,80.5824,59.2779,30.714,7.097,0
81,HD8274,Gaia DR3 289697747434140544,HD8274,-,-,TIC411630403,-,-,J01224+2205A,F8,*,20.603,22.0866,52.955,7.242,0
82,HD9091,Gaia DR3 290368930563348480,HD9091,HIP6975,-,TIC381319184,-,-,-,F8,PM*,22.4527,23.6904,47.085,7.62,0
83,HD9472,Gaia DR3 291701396922348672,HD9472,HIP7244,-,TIC18251910,-,-,-,G0,*,23.3293,23.9756,32.917,7.63,0
84,HD8574,Gaia DR3 297045096447719040,HD8574,HIP6643,-,TIC18121498,-,-,-,F8,PM*,21.3021,28.5667,44.832,7.12,0
85,HD9224,Gaia DR3 297159754894750848,HD9224,HIP7090,-,TIC18224448,-,-,-,G0V,PM*,22.8314,29.4131,43.471,7.27,0
86,HD12051,Gaia DR3 304991163902854784,HD12051,HIP9269,GJ82.1,TIC284013790,-,-,J01591+3313A,G9V,PM*,29.7776,33.2097,24.727,7.138,0
87,HD11007,Gaia DR3 305334280250112896,HD11007,HIP8433,GJ3115,TIC20931913,-,-,-,F8V,PM*,27.1732,32.6902,27.71,5.785,0
88,HD7228,Gaia DR3 314005922300046848,HD7228,HIP5682,-,TIC431365980,-,-,-,F5,PM*,18.2596,33.1549,64.333,7.41,0
89,HD5750,Gaia DR3 314424045956125440,HD5750,-,-,TIC301941897,-,-,-,F5,PM*,14.8993,32.4921,41.748,7.018,0
90,HD8909,Gaia DR3 315328531708809856,HD8909,HIP6862,-,TIC44629425,-,-,-,F5,PM*,22.0798,30.5577,47.821,6.912,0
91,HD8745,Gaia DR3 322414398818886656,HD8745,HIP6752,-,TIC189358516,-,-,J01269+3730A,F8,PM*,21.7242,37.4922,54.315,7.52,0
92,HD14348,Gaia DR3 324445853925182720,HD14348,HIP10868,-,TIC285175395,-,-,-,F5,PM*,34.9705,31.3375,60.294,7.19,0
93,HD13974,Gaia DR3 326173044957518080,HD13974,HIP10644,GJ92,TIC63782132,-,8Tri+delTri,J02171+3413A,G0.5VFe-0.5,SB*,34.2635,34.2242,10.911,4.872,0
94,HD13531A,Gaia DR3 333053037107550080,HD13531A,HIP10339,-,TIC184737443,-,-,J02132+4030A,G7V,BY*,33.3056,40.5076,26.087,7.35,0
95,HD13507,Gaia DR3 333106054183616000,HD13507,HIP10321,-,TIC184735829,-,-,-,G5V,BY*,33.2291,40.6684,26.389,7.19,0
96,HD17922,Gaia DR3 336538454607430016,HD17922,HIP13528,-,TIC259386353,-,-,-,F5,SB*,43.5588,42.5888,29.839,6.898,0
97,HD16175,Gaia DR3 340028235795364864,HD16175,HIP12191,-,TIC422922274,-,-,-,G2,PM*,39.258,42.0626,59.999,7.297,0
98,HD15830,Gaia DR3 340305381444650880,HD15830,HIP11949,-,TIC288497990,-,-,-,G0,PM*,38.5444,42.7853,32.009,7.59,0
99,HD11907,Gaia DR3 345679278885384320,HD11907,HIP9151,-,TIC67517270,-,-,-,F5,PM*,29.4812,40.7606,45.128,6.878,0
100,HD11926,Gaia DR3 345765551891443968,HD11926,HIP9172,-,TIC67517644,-,-,J01581+4123A,G5,*,29.5191,41.386,32.626,7.57,0
101,HD9826,Gaia DR3 348020482735930112,HD9826,HIP7513,GJ61,TIC189576919,-,50And+upsAnd,J01368+4124A,F9V,PM*,24.1993,41.4055,13.478,4.096,0
102,HD10307,Gaia DR3 348515297330773120,HD10307,HIP7918,GJ67+GJ67A+GJ67B,TIC327507922,-,-,J01418+4237AB,G1V,SB*,25.4464,42.6134,14.701,4.961,0
103,HD10086,Gaia DR3 350664155368182656,HD10086,HIP7734,GJ65.1,TIC327349605,-,-,-,G5V,PM*,24.9001,45.8778,21.016,6.617,0
104,HD13931,Gaia DR3 351537889154226816,HD13931,HIP10626,-,TIC292851928,-,-,-,G0,PM*,34.1974,43.773,47.197,7.61,0
105,HD4903,Gaia DR3 361079760296360064,HD4903,HIP4005,-,TIC53701382,-,-,-,F8,PM*,12.8537,32.6571,55.27,7.28,0
106,HD3765,Gaia DR3 369092520004831232,HD3765,HIP3206,GJ28,TIC424009747,-,-,-,K2V,PM*,10.2053,40.1872,17.908,7.36,0
107,HD4322,Gaia DR3 369194534069560320,HD4322,HIP3597,-,TIC115850723,-,-,-,F7IV/V,PM*,11.5135,40.8089,55.865,7.57,0
108,HD6611A,Gaia DR3 371518695489690496,HD6611A,HIP5276,-,TIC407339750,-,-,J01075+4116A,F5,SB*,16.8697,41.2589,52.129,7.24,0
109,HD6963,Gaia DR3 373208954099200768,HD6963,HIP5521,-,TIC196692982,-,-,J01107+4256A,G7V,BY*,17.6746,42.9318,26.958,7.66,0
110,HD7590,Gaia DR3 373349657227961472,HD7590,HIP5944,-,TIC196841006,-,-,J01165+4256A,G0-V(k),BY*,19.1219,42.9394,24.166,6.597,0
111,HD5065,Gaia DR3 374163192752986240,HD5065,HIP4127,-,TIC283546449,-,-,-,G0,PM*,13.2156,40.2456,42.904,6.76,0
112,HD5129,Gaia DR3 375707319395404928,HD5129,HIP4205,-,TIC196234276,-,-,-,G0,SB*,13.4191,43.3634,33.093,7.19,0
113,HD1562,Gaia DR3 379582273249916416,HD1562,HIP1598,-,TIC194531699,-,-,J00200+3814A,G1V,PM*,5.0017,38.2274,24.728,6.99,0
114,HD3454,Gaia DR3 390077936372822912,HD3454,HIP2981,-,TIC191288300,-,-,-,F5,SB*,9.4875,47.4077,45.203,7.53,0
115,HD3079,Gaia DR3 390900439790625664,HD3079,HIP2712,GJ9016,TIC240644651,-,-,J00345+4755A,F8,PM*,8.6238,47.9155,47.68,7.376,0
116,HD2057,Gaia DR3 392562179817077120,HD2057,HIP1987,-,TIC202438769,-,-,J00251+4803A,F8,SB*,6.2865,48.0474,48.495,7.52,0
117,HD8907,Gaia DR3 396341196983414272,HD8907,HIP6878,-,TIC191770861,-,-,-,F8,PM*,22.1432,42.2677,33.399,6.667,0
118,HD10211,Gaia DR3 405434609118418560,HD10211,HIP7855,-,TIC309130111,-,-,-,F8,*,25.2527,49.104,65.572,7.4,0
119,HD10556,Gaia DR3 409293585696641920,HD10556,HIP8109,-,TIC71852020,-,-,-,F8,PM*,26.0586,54.8864,47.874,7.272,0
120,HD8054,Gaia DR3 409909484005053440,HD8054,HIP6306,-,TIC241018215,-,-,-,F5,SB*,20.2646,51.9837,48.004,7.62,0
121,HD8004,Gaia DR3 410846061755266816,HD8004,HIP6285,-,TIC332575186,-,-,-,G0,PM*,20.1539,54.9624,33.632,7.212,0
122,HD6582,Gaia DR3 411413822074322432,HD6582,HIP5336,GJ53+GJ53A+GJ53B,TIC252191219,-,30Cas+mu.Cas,J01083+5455A,G5Vb,SB*,17.0679,54.9202,7.675,5.176,0
123,HD7284,Gaia DR3 414103708555300480,HD7284,HIP5784,-,TIC331782093,-,-,-,F5,PM*,18.5438,58.8123,42.592,7.192,0
124,HD3149,Gaia DR3 415735624324946816,HD3149,HIP2760,-,TIC240649313,-,-,-,F8,PM*,8.8074,51.8382,44.233,7.37,0
125,HD5372,Gaia DR3 416736832741633792,HD5372,HIP4393,-,TIC306956595,-,-,-,G5,PM*,14.0724,52.4912,41.136,7.53,0
126,HD123B,Gaia DR3 423075173674854528,HD123B,HIP518B,GJ4.1B+GJ9001B,-,-,-,J00063+5826B,G8V,SB*,1.5655,58.4371,21.269,7.156,0
127,HD123A,Gaia DR3 423075173680043904,HD123A,HIP518A,GJ4.1A+GJ9001A,TIC604446831,-,-,J00063+5826A,G3V,PM*,1.5659,58.4367,20.789,6.339,0
128,etaCasB,Gaia DR3 425040000962497792,HD4614B,-,GJ34B,TIC445258198,-,etaCasB,J00491+5749B,K7Ve,PM*,12.2716,57.8178,5.927,7.323,0
129,HD4614A,Gaia DR3 425040000962559616,HD4614A,HIP3821,GJ34A,TIC445258206,-,24Cas+etaCas+etaCasA,J00491+5749A,F9V,PM*,12.2762,57.8152,5.923,3.438,0
130,HD5015,Gaia DR3 427322415301550208,HD5015,HIP4151,GJ41,TIC285544488,-,-,J00531+6107A,F9V,PM*,13.2675,61.124,18.903,4.794,0
131,HD1697,Gaia DR3 428949864311548416,HD1697,-,-,TIC428417801,-,-,-,F8,PM*,5.4246,61.6918,54.95,7.257,0
132,HD224792,Gaia DR3 429915991435184000,HD224792,HIP58,-,TIC417860263,-,-,-,G0,PM*,0.1735,62.1759,38.307,7.05,0
133,HD18768,Gaia DR3 434311667115069952,HD18768,HIP14181,-,TIC418085793,-,-,-,F8,PM*,45.7178,47.1106,47.193,6.728,0
134,iotPer,Gaia DR3 436648129327098496,HD19373,HIP14632,GJ124,TIC116988032,-,iotPer,J03091+4937A,G0V,PM*,47.2667,49.6133,10.577,4.056,0
135,HD16895,Gaia DR3 438829629114680704,HD16895,HIP12777,GJ107A,TIC302158903,-,13Per+tetPer,J02442+4914A,F8V,PM*,41.0499,49.2284,11.15,4.107,0
136,HD21045,Gaia DR3 442683108132783872,HD21045,-,-,TIC252863846,-,-,-,F8,PM*,51.5076,51.4186,62.315,7.324,0
137,HD13403,Gaia DR3 458598367152568448,HD13403,HIP10322,-,TIC347583453,-,-,J02129+5712A,G3V,PM*,33.2336,57.2045,40.982,6.996,0
138,HD19256,Gaia DR3 460050169170768128,HD19256,HIP14592,-,TIC251808762,-,-,-,G0IV,PM*,47.1074,57.0129,32.436,6.652,0
139,HD18757,Gaia DR3 466294295706341760,HD18757,HIP14286,GJ3194,TIC286636275,-,-,J03042+6142A,G1.5V,PM*,46.0401,61.7058,23.552,6.643,0
140,HD17591,Gaia DR3 467468196170006144,HD17591,HIP13394,-,TIC390410291,-,-,J02524+6325A,G0,PM*,43.0951,63.4098,29.993,6.808,0
141,HD24409,Gaia DR3 473347456640406016,HD24409,HIP18413,GJ3257,TIC72290819,-,-,J03562+5939AD,G3V,**,59.0482,59.642,21.736,6.517,0
142,HD31865,Gaia DR3 478240661338191360,HD31865,HIP23532,-,TIC416236614,-,-,J05036+6305A,G4V,PM*,75.8888,63.0859,32.147,7.93,0
143,HD34654,Gaia DR3 479668033588960768,HD34654,HIP25222,-,TIC416306574,-,-,-,F8,SB*,80.9161,64.1248,36.842,7.29,0
144,HD31675,Gaia DR3 482846859145086208,HD31675,HIP23484,-,TIC468418392,-,-,-,F6V:,PM*,75.7102,66.823,28.111,6.21,0
145,HD22399,Gaia DR3 488099359330834432,HD22399,HIP17118,-,TIC392311734,-,-,J03400+6352A,F5,PM*,54.9951,63.8704,42.81,6.884,0
146,HD25665,Gaia DR3 493935296471302784,HD25665,HIP19422,GJ161,TIC102718782,-,-,-,K2.5V,PM*,62.396,69.5414,18.777,7.7,0
147,HD37393,Gaia DR3 499849844393678336,HD37393,HIP27246,-,TIC313194754,-,-,-,G0,SB*,86.6244,74.61,37.467,7.311,0
148,HD10757,Gaia DR3 506485809392070016,HD10757,HIP8288,-,TIC403438102,-,-,-,G0V,PM*,26.6966,59.1561,62.758,7.35,0
149,HD12482,Gaia DR3 507960391923112704,HD12482,HIP9659,-,TIC12106915,-,-,-,F6IV,PM*,31.0694,60.2443,43.405,7.399,0
150,HD12569,Gaia DR3 507966473596728960,HD12569,HIP9726,-,TIC374124077,-,-,-,F7IV,PM*,31.2789,60.3454,64.891,7.514,0
151,HD10780,Gaia DR3 512167948043650816,HD10780,HIP8362,GJ75,TIC373694425,-,-,J01477+6351A,K0V,BY*,26.9368,63.8525,10.041,5.628,0
152,HD13829,Gaia DR3 515529086371772032,HD13829,HIP10681,-,TIC374218538,-,-,-,F8,*,34.357,65.2621,44.562,7.61,0
153,HD10195,Gaia DR3 520153632273949312,HD10195,HIP7949,-,TIC279205147,-,-,-,F5,PM*,25.5267,69.086,45.292,7.53,0
154,HD13579,Gaia DR3 520377795206114688,HD13579,HIP10531,GJ90,TIC379603165,-,-,J02157+6740A,K2,BY*,33.9273,67.6723,18.573,7.215,0
155,54Cas,Gaia DR3 522135261462534528,HD12800,HIP10031,-,TIC357744191,-,54Cas,-,F8,PM*,32.2844,71.552,27.018,6.562,0
156,HD4243,Gaia DR3 526172393287330304,HD4243,HIP3587,-,TIC368404959,-,-,-,G0,*,11.4484,66.4927,46.527,7.54,0
157,HD3801,Gaia DR3 527630414422930944,HD3801,HIP3267,-,TIC284811120,-,-,-,F8,PM*,10.3943,65.8682,47.576,6.964,0
158,HD4132,Gaia DR3 529221888785710208,HD4132,HIP3509,-,TIC258678247,-,-,-,F8,PM*,11.2004,67.1582,45.299,6.908,0
159,HD2663,Gaia DR3 530133899320549888,HD2663,HIP2453,-,TIC407315823,-,-,-,F8,PM*,7.8038,69.7853,40.952,7.37,0
160,HD9407,Gaia DR3 532057254394731776,HD9407,HIP7339,GJ59.1,TIC398018469,-,-,-,G6.5V,PM*,23.6386,68.9481,21.048,6.524,0
161,38Cas,Gaia DR3 532462149551387776,HD9021,HIP7078,-,TIC353168694,-,38Cas,-,F6V,SB*,22.8073,70.2646,27.576,5.837,0
162,HD5996,Gaia DR3 532870034006715264,HD5996,HIP4907,-,TIC379166346,-,-,-,G5V,BY*,15.7384,69.2271,26.427,7.67,0
163,HD75302,Gaia DR3 581100382135253760,HD75302,HIP43297,-,TIC262587669,-,-,J08492+0329A,G5V,PM*,132.3022,3.4848,30.324,7.45,0
164,HD74156,Gaia DR3 582221750852254080,HD74156,HIP42723,-,TIC379949822,-,-,-,G1V,PM*,130.6047,4.5781,57.391,7.61,0
165,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,37.826,6.717,0
166,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,61.839,7.464,0
167,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,53.285,7.574,0
168,HD80654,Gaia DR3 594232609715397120,HD80654,HIP45879,-,TIC55315634,-,-,-,F8V,PM*,140.3272,13.1115,43.213,6.675,0
169,HD73668A,Gaia DR3 594641009565720192,HD73668A,HIP42488,-,TIC393124350,-,-,"J08397+0546Aa,Ab",G1V,PM*,129.9325,5.7642,35.426,7.258,0
170,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,26.027,5.618,0
171,HD72946,Gaia DR3 594989417312890368,HD72946,HIP42173,GJ310.1B+GJ9271B,TIC468986285,-,-,J08358+0637B,G8-V,**,128.9636,6.6228,25.654,7.25,0
172,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,22.965,6.583,0
