,index,RA,DEC,PRIMARY,GAIA,HIP,HD,TIC,plx,pmra,pmdec,gmag,BP-RP,RV,spH1D,spH2D,spS1D,spS2D,teff,teff_err,logg,logg_err,feh,feh_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,instrument,gdr3_teff,gdr3_teff_err,gdrs3_logg,gdr3_logg_err,gdr3_feh,gdr3_feh_err,w1mag,w1mag_err,w2mag,w2mag_err,w3mag,w3mag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,bmag,bmag_err,vmag,vmag_err,U,U_err,V,V_err,W,W_err,LikeMemb,MembProb,simbad_Otype,PlanetHost,SB,A550,chisqSED,nptsSED,radius_SED,radius_SED_up,radius_SED_low,teff_SED,teff_SED_up,teff_SED_low,FiltFlag,goodFlag
866,2209,202.07796,-0.8401915,HD117126,Gaia DR3 3638745672411053952,65708.0,117126,115071316.0,23.1181,224.6,-405.31,7.278738,0.822285,-7.37,True,True,,,5703.0,100.0,3.98,0.1,-0.08,0.04,1.11,0.03,4.11,0.21,0.0,0.0,HARPS,,,,,,,5.872,0.114,5.786,0.04,5.865,0.015,6.254,0.021,5.95,0.045,5.845,0.018,8.106,0.024,7.44,0.03,73.2589365163184,0.196144644857163,-31.8708254702845,0.151266742094611,-51.9630569333837,0.436283590546975,ThickDisk,62.2092240722069,SB*,,,0.0157155599,0.119500743821488,5.0,1.32667799653443,1.35111749,1.29703212,5740.0,5799.56494,5688.03418,False,True
867,2210,215.66125,-7.7697883,HD125906B,Gaia DR3 3639520621950395776,70269.0,125906B,6131663.0,23.802,6.01,-136.724,7.429657,0.743253,-32.39,,,,,,,,,,,,,,,,,,,,,,,,6.035,0.332,5.96,0.097,6.128,0.028,6.414,0.032,6.142,0.027,6.053,0.031,8.003,0.027,6.822,0.023,-8.05653458413605,0.307308928735277,-11.0335928438528,0.120768069264178,-40.0672840963545,0.375653248909143,ThinDisk,92.1128020183369,HighPM*,,,0.0247297902,2.11249137337172,8.0,1.12241513621838,1.15069044,1.09094942,5940.0,6019.17285,5866.04395,False,True
868,2211,215.66109,-7.7681766,HD125906A,Gaia DR3 3639520621950395904,70269.0,125906A,6131661.0,23.7416,10.974,-133.807,7.419525,0.741473,-33.06,,,,,,,,,,,,,,,,,,,,,,,,6.133,0.325,6.116,0.103,6.228,0.03,6.461,0.023,6.162,0.059,6.087,0.016,8.008,0.026,7.446,0.002,-8.00250660613421,0.307305763341332,-9.85667875205853,0.12073289148046,-40.6248354638089,0.375662347191263,ThinDisk,91.7732134881184,HighPM*,,,0.0247297902,3.44136839106092,8.0,1.10111399670131,1.12929845,1.07782245,6010.0,6077.99023,5933.80664,True,True
869,2212,214.50302,-7.5423923,HD125184,Gaia DR3 3639760521643499776,69881.0,125184,6041460.0,30.3492,267.128,-236.757,6.297372,0.876384,-12.43,True,True,True,True,5654.0,101.0,3.92,0.13,0.35,0.06,1.08,0.14,,0.19,,,"HARPS,SOPHIE",,,,,,,4.879,0.187,4.685,0.077,5.233,0.024,5.293,0.043,4.949,0.016,4.833,0.017,7.204,0.022,6.479,0.023,36.3991753086465,0.299971460733307,3.5172754184638,0.125572906937642,-43.8836134692469,0.380251151092474,ThinDisk,87.4747347204318,HighPM*,,,,,,,,,,,,,
870,2213,213.58879,-5.94772,HD124553,Gaia DR3 3640929611741605632,69564.0,124553,147757234.0,24.3347,-306.011,82.37,6.231307,0.739419,-32.81,,,True,True,5988.0,106.0,3.76,0.13,0.18,0.04,1.25,0.04,5.25,0.35,2.13,0.34,SOPHIE,,,,,,,4.951,0.225,4.76,0.09,5.03,0.014,5.323,0.02,5.135,0.027,4.972,0.017,6.947,0.023,6.363,0.023,-67.2875445712231,0.28900184164322,-18.8824933974444,0.121144544655737,1.83742003822317,0.390452415153249,ThinDisk,98.0292132448811,HighPM*,,,0.0220966451,2.31928740064714,5.0,1.79446813005438,1.83469069,1.76584983,6100.0,6151.22656,6031.3877,False,True
871,2214,214.89526,-5.1511917,HD125455,Gaia DR3 3642413746280598784,70016.0,125455,203230367.0,48.9015,-632.951,-120.707,7.35291,1.035083,-9.89,True,True,,,5195.0,143.0,4.48,0.13,-0.12,0.04,1.02,0.05,3.25,0.01,2.49,0.39,HARPS,,,,,,,5.417,0.151,5.4,0.052,5.541,0.015,6.089,0.029,5.643,0.04,5.541,0.034,8.384,0.0,7.58,0.03,-42.6991824555801,0.293251854603256,-46.182181809963,0.108687230660434,6.59463163279042,0.390327392277043,ThinDisk,96.4320929597848,HighPM*,,,0.0141101219,0.0625776901728298,5.0,0.764333833315975,0.790515184,0.746425569,5180.0,5224.08594,5111.82227,False,True
872,2215,209.86536,-5.423865,HD122040,Gaia DR3 3644581708332456192,68348.0,122040,119144235.0,19.718,57.258,-200.73,7.270635,0.649527,-4.26,,,,,,,,,,,,,,,,,,,,,,,,6.158,0.089,6.053,0.027,6.183,0.015,6.443,0.024,6.239,0.045,6.179,0.023,7.867,0.025,7.39,0.03,28.8797534004072,0.263762012150262,-25.0320297040677,0.138634490047276,-32.8001144045904,0.402329916212747,ThinDisk,94.1527166723423,HighPM*,,,0.0219687484,2.79451635923705,8.0,1.25350684397647,1.2784574,1.22965527,6390.0,6458.25146,6317.29639,True,False
873,2216,213.18849,-3.3200843,HD124292,Gaia DR3 3646061719703116032,69414.0,124292,147718994.0,45.8954,-162.498,-322.138,6.86059,0.908239,37.69,True,True,,,5521.0,153.0,4.15,0.21,-0.07,0.08,1.2,0.04,3.43,0.21,3.04,0.28,HARPS,,,,,,,5.253,0.207,5.115,0.068,5.312,0.014,5.737,0.018,5.376,0.04,5.304,0.031,7.799,0.024,7.057,0.023,24.1288740643579,0.275783377959597,-43.2689432418557,0.106404945608776,18.8399890624058,0.403347967763948,ThinDisk,96.0079222113711,HighPM*,,,0.0137064662,0.118720477544847,5.0,0.880790423635019,0.909021497,0.862025023,5520.0,5567.5957,5448.59814,False,False
874,2220,215.81369,1.241567,HD126053,Gaia DR3 3654496279558010624,70319.0,126053,446436963.0,57.2706,223.531,-478.275,6.092967,0.823667,-19.27,True,True,True,True,5660.0,102.0,4.09,0.11,-0.4,0.04,1.06,0.05,4.25,0.19,0.0,0.0,"HARPS,SOPHIE",,,,,,,4.642,0.258,4.408,0.078,4.684,0.014,5.053,0.037,4.814,0.067,4.644,0.017,6.888,0.022,6.263,0.023,21.6492269191339,0.272684452784139,-15.2434574132089,0.061802158981196,-39.7474042284176,0.414588076027983,ThinDisk,91.3047718642718,HighPM*,Yes,,,,,,,,,,,,
875,2222,217.12975,2.7888305,HD126961,Gaia DR3 3656209284314369664,70782.0,126961,402202339.0,25.1863,-195.188,51.385,6.894,0.692273,-5.75,,,True,True,6291.0,110.0,4.31,0.12,0.16,0.05,1.31,0.04,7.09,0.5,4.03,0.43,SOPHIE,,,,,,,5.731,0.135,5.622,0.051,5.759,0.015,6.046,0.023,5.812,0.065,5.731,0.02,7.566,0.025,7.02,0.023,-32.4300111160235,0.273745533496522,-16.240144982357,0.0446381131339416,12.6806888437073,0.416299667399773,ThinDisk,98.6509856009385,HighPM*,,,0.0218899213,1.42484883827307,8.0,1.20194992096781,1.22792065,1.17993379,6290.0,6354.83203,6214.56494,False,True
876,2223,204.06104,-0.93098927,HD118330,Gaia DR3 3662563220276768640,66367.0,118330,157838901.0,19.7475,-222.442,-54.017,6.926061,0.710258,15.97,,,,,,,,,,,,,,,,,,,,,,,,5.647,0.153,5.558,0.05,5.702,0.015,6.013,0.019,5.772,0.033,5.69,0.018,7.591,0.025,7.053,0.023,-28.5320557656576,0.208025117878457,-46.6118181647295,0.142299613749116,16.9648326605091,0.432738026212631,ThinDisk,95.6187090015857,HighPM*,,,0.0176723786,0.250106002358848,5.0,1.61758613732453,1.63874769,1.57803023,6080.0,6159.81396,6039.16406,False,False
