,period,HD145675,HD95128,HD75732,HD1326,HD114783,HD115404A,HD12235,HD12661,HD128311,HD141399,HD1461,HD155358,HD164922,HD168443,HD18143A,HD190360,HD217107,HD219134,HD24040,HD25463,HD37124,HD69830,HD72659,HD73344,HD74156,HD7924,HD82943,HD92788,HD99492,HD143761,HD9826,HD222155,HD220773,HD217014,HD210277,HD197037,HD196885A,HD195019,HD190007,HD189733A,HD186427,HD185269,HD184960,HD168009,HD164595,HD162004,HD155193,HD155060,HD154345,HD150706,HD149806A,HD143105,HD141004,HD136118,HD120136,HD120066,HD111998,HD106252,HD103774,HD97037,HD89307,HD88986,HD88072,HD87883,HD86728,HD79211,HD52265,HD50554,HD42618,HD40979,HD33564,HD32963,HD31253,HD30562,HD26161,HD23596,HD22049,HD19994,HD17674,HD16232,HD16175,HD16141,HD13931,HD11505,HD8673A,HD8574,HD7449A,HD3765,HD3651
42,204.24242424242425,0.267036204582986,0.5810544576026819,0.0,0.7975503627411172,0.0,0.4423356402343734,0.5639243919287148,0.0,0.0,0.0,0.4858019994101006,0.0,0.7266534375927205,0.0453441133157213,0.3944700942566918,0.3959162529558011,0.9023207030462834,0.636248045716142,0.7336739793260647,0.9147719414549402,0.0,0.0015864154041385,0.0,0.7604715996244211,0.2365468584258991,0.0469687194630227,0.0,0.0,0.872856608155322,0.692026371553206,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0
43,207.67676767676767,0.2755546639345317,0.5857107970131801,0.0,0.8088037258742335,0.0,0.4389132317190594,0.5643483659018917,0.0,0.0,0.0,0.4667403598518697,0.0,0.6969027252798867,0.0388837188908756,0.3916616225032161,0.3958951704354126,0.9027828457235326,0.6335547119179117,0.7519621843899907,0.9153973161788932,0.0,0.0,0.0,0.7691900076653309,0.2639193690169464,0.0494606729644661,0.0,0.0,0.8620078706327188,0.7248528570708623,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
44,211.11111111111111,0.3375338345250342,0.5619043651078119,0.0,0.8180074870966378,0.0,0.4740932433656516,0.5836880221044753,0.0,0.0,0.0,0.4903540143672455,0.0,0.7008531703790823,0.0440437106274307,0.3949743284387831,0.3953141503501983,0.903401937731452,0.6426274639787699,0.7050230858488615,0.916878118774545,0.0,0.0,0.0,0.7690521372725685,0.343612127346194,0.0489375940589904,0.0,0.0,0.8494803260980585,0.7915100687387033,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
45,214.54545454545453,0.3505158519585705,0.4463421375673412,0.0,0.804928361339663,0.0,0.4506914847368338,0.5938872423636675,0.0,0.0,0.0,0.496532885583995,0.0,0.719562254046721,0.0165898680440018,0.3869208367096677,0.3959857862024335,0.9049751070931462,0.6527737284450033,0.6418348192177774,0.916742809212182,0.0,0.0061661524488265,0.0,0.7779433827528969,0.3415755977634861,0.032181994664519,0.0,0.0,0.8723976081185443,0.793689515497737,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
46,217.979797979798,0.3022400282241443,0.3110124989423333,0.0,0.7966873176078935,0.0,0.4549767520469956,0.5820855157413698,0.0,0.0,0.0,0.4791528481426029,0.0,0.723958234969228,0.014814161265904,0.3813354507984789,0.4013293015370489,0.9021632129450936,0.6574911410616952,0.6007736253750062,0.9161092298704344,0.0010974650526547,0.1814019166930013,0.0,0.7724418502653908,0.3800534697065963,0.0327729959796624,0.0,0.0,0.8727535248553414,0.7911158658538936,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
47,221.4141414141414,0.2862219040791454,0.1771145222393972,0.0,0.7971446550695308,0.0,0.4775002693080766,0.5733964194216237,0.0,0.0,0.0,0.4648356895096914,0.0,0.721627163833593,0.0170303703282528,0.3847113106158092,0.4504528896325249,0.9003202070510393,0.6615921536902218,0.5828353355859914,0.9169736175821546,0.007812083333006,0.4050403546838186,0.0,0.7668525361364094,0.4247103863668033,0.0352773237360882,0.0,0.0,0.8731094415921388,0.7705494861521054,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
48,224.84848484848484,0.2749085182498789,0.1094303736243236,0.0,0.8017528939797106,0.0,0.4778287763513948,0.5672824867472963,0.0,0.0,0.0,0.4487285054227565,0.0,0.7173295041270729,0.0225953308666842,0.3930433304336273,0.5801497414765115,0.9015331958318396,0.6691869030089186,0.5435904701202241,0.9171704322367542,0.0151315503580772,0.4978110562243296,0.0,0.769913456147746,0.4025084983754637,0.0352244862527854,0.0,0.0,0.8777135543816121,0.7329827752071417,0.0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
49,228.2828282828283,0.2614815806278547,0.0931372883682379,0.0,0.7916205573031115,0.0,0.4771506629068068,0.5683817839322273,0.0,0.0,0.0,0.4525314885322891,0.0,0.7165612355261117,0.0381432497593008,0.3976440791033552,0.6737849225337104,0.9052544482811078,0.6624859953815376,0.517402681606866,0.9166253239189144,0.0176613482308274,0.5123709604224385,0.0,0.7775189316015043,0.3887130113480571,0.0360175572059865,0.0,0.0,0.8814372584243666,0.7092840709349255,0.0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
50,231.7171717171717,0.2586631024211221,0.0784956677928744,0.0,0.7996162591710156,0.0,0.4788602723865325,0.571077964043659,0.0,0.0,0.0,0.4619239540671419,0.0,0.7196456569030514,0.0672894309358324,0.395486365739615,0.6750031096397556,0.9032382179995522,0.6551791947857735,0.4864542691533646,0.9161741659403084,0.0143187159832336,0.5393290567022824,0.0,0.7817568695351096,0.3854649528227578,0.0348563898890099,0.0,0.0,0.8847370363826398,0.7526932521553868,0.0045975022128204,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
51,235.15151515151516,0.2484961610797079,0.0703409244951869,0.0,0.8075962697020717,0.0,0.4929689332220871,0.5746283284478503,0.0,0.0,0.0,0.4613782288643517,0.0,0.7279358196762276,0.0512829430074662,0.4004793943579603,0.6715395020428989,0.9018633828448104,0.6522277580014286,0.4171456687815749,0.914673626422882,0.0385826482312643,0.5803062593953668,0.0,0.7829427739459405,0.3717840659921677,0.0345380779593958,0.0,0.0,0.8796539582151292,0.7525709995460785,0.0105351262238008,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1
