,GAIA,HD,name,method,year,period,radius,mass,k,ecc,peri,Tp,T0,Tc,i,MP_stability
109,Gaia DR3 3241295308714904960,HD34445,HD 34445 b,Radial Velocity,2009,1052.85,,229.5655,12.35,0.1865,104.0,2453781.0,2454809.0,2454809.0,,
110,Gaia DR3 3241295308714904960,HD34445,HD 34445 c,Radial Velocity,2017,214.67,,53.5,5.45,0.036,149.0,,2455260.078,2455260.08,,
111,Gaia DR3 3241295308714904960,HD34445,HD 34445 d,Radial Velocity,2017,117.87,,30.7,3.81,0.027,246.4,,2455529.809,2455529.81,,
112,Gaia DR3 3241295308714904960,HD34445,HD 34445 e,Radial Velocity,2017,49.175,,16.8,2.75,0.09,303.7,,2455485.683,2455485.68,,
113,Gaia DR3 3241295308714904960,HD34445,HD 34445 f,Radial Velocity,2017,676.8,,37.9,2.74,0.031,212.0,,2455428.344029,2455428.34,,
114,Gaia DR3 3241295308714904960,HD34445,HD 34445 g,Radial Velocity,2017,5700.0,,120.6,4.08,0.032,234.9,,,,,
115,Gaia DR3 3265335443260522112,HD19994,HD 19994 b,Radial Velocity,2003,500.95,,484.6822,32.75,0.1815,193.5,2452454.75,,2452339.64,,42.0
116,Gaia DR3 3295354481521174656,HD31253,HD 31253 b,Radial Velocity,2010,466.0,,158.908,12.0,0.3,145.5,2450660.0,2454222.0,2454222.0,,31.0
117,Gaia DR3 3301771025223950336,HD25463,HD 25463 b,Transit,2023,7.0491,2.62,8.6,2.515,0.0,90.0,,2458442.6182,2458442.62,,91.7
118,Gaia DR3 3301771025223950336,HD25463,HD 25463 c,Transit,2023,3.044,1.3635,4.2,1.6,0.0,90.0,,2458438.4759,2458438.48,,91.7
119,Gaia DR3 3319126988068404096,HD42618,HD 42618 b,Radial Velocity,2016,149.05,,14.7961,1.965,0.23,80.5,,2455170.6,2455170.6,,38.0
120,Gaia DR3 3380479015342121600,HD50554,HD 50554 b,Radial Velocity,2002,1247.3,,1497.232,91.5,0.4915,7.4,2451858.5,2453200.5,2453200.5,61.0,34.0
121,Gaia DR3 3402798414192387328,HD37124,HD 37124 b,Radial Velocity,2002,154.319,,206.5885,28.42,0.055,130.0,2450309.0,2454920.13,2454920.13,,0.2
122,Gaia DR3 3402798414192387328,HD37124,HD 37124 c,Radial Velocity,2002,886.6,,205.635,15.65,0.14,265.0,2449534.0,2454937.0,2454937.0,,0.2
123,Gaia DR3 3402798414192387328,HD37124,HD 37124 d,Radial Velocity,2005,1862.0,,215.3215,12.8,0.18,133.0,2449082.0,2454455.0,2454455.0,,0.2
124,Gaia DR3 3421680597955802624,HD32963,HD 32963 b,Radial Velocity,2015,2368.0,,230.7434,11.21,0.07,105.0,2452999.0,2455371.0,2455371.0,19.3,100.0
125,Gaia DR3 3574907305749250432,HD103774,HD 103774 b,Radial Velocity,2013,5.8881,,116.0,34.3,0.09,-42.0,2455675.4,,2455677.43,,100.0
126,Gaia DR3 3679242575447826432,HD111998,HD 111998 b,Radial Velocity,2016,817.95,,1479.4948,87.6,0.08,51.35,2454997.65,,2455073.05,90.0,85.0
127,Gaia DR3 3684934540986187776,HD114783,HD 114783 b,Radial Velocity,2001,495.3,,328.4584,29.42,0.113,89.5,2451833.8,2455283.8,2455283.8,,10.0
128,Gaia DR3 3684934540986187776,HD114783,HD 114783 c,Radial Velocity,2018,4340.0,,209.4489,9.16,0.05,6.5,2456865.0,2454959.0,2454959.0,159.0,10.0
129,Gaia DR3 3721126409323324416,HD120066,HR 5183 b,Radial Velocity,2019,38350.0,,1026.5909,37.76,0.875,-20.0,2458121.0,2458960.0,2458960.0,80.3,96.0
130,Gaia DR3 3732539683617410816,HD115383,GJ 504 b,Imaging,2013,,12.1057,1271.3,,,,,,,,
131,Gaia DR3 3784271568265259904,HD97037,HD 97037 b,Radial Velocity,2022,6449.0834,,6707.7685,59.443,0.357,109.386,2445839.855,,2445684.59,14.561,100.0
132,Gaia DR3 3802549437248150656,HD92788,HD 92788 b,Radial Velocity,2000,325.7615,,1158.4904,106.1,0.35,272.0,2451737.504,2450581.2,2450581.2,,1.3
133,Gaia DR3 3802549437248150656,HD92788,HD 92788 c,Radial Velocity,2019,9985.6488,,1029.767,30.995,0.4075,-30.855,2456858.0,2450140.0,2450140.0,,1.3
134,Gaia DR3 3812355294262255104,HD99492,HD 99492 b,Radial Velocity,2004,17.0495,,26.7294,7.9,0.085,175.15,2450466.9475,2455491.293273,2455491.29,,77.1
135,Gaia DR3 3812355294262255104,HD99492,HD 99492 c,Radial Velocity,2023,95.233,,17.9,2.79,0.063,137.5,,2455424.022995,2455424.02,,77.1
136,Gaia DR3 3835743693290897152,HD88072,HD 88072 b,Radial Velocity,2022,18538.7929,,2511.7979,10.765,0.156,272.477,2435160.614,,2444257.46,169.626,100.0
137,Gaia DR3 3886688327612984704,HD89307,HD 89307 b,Radial Velocity,2009,2193.5,,650.5827,32.4,0.2205,29.0,2454556.0,,2454803.87,72.0,100.0
138,Gaia DR3 3905603054348141440,HD106252,HD 106252 b,Radial Velocity,2002,1535.0,,2402.7948,142.9,0.48,292.2,2453397.5,,2453938.86,46.0,38.0
139,Gaia DR3 3936909723803146368,HD115404A,HD 115404 A b,Radial Velocity,2022,10.4949,,30.8294,10.507,0.232,259.222,2452305.407,,2452300.65,,50.6
140,Gaia DR3 3936909723803146368,HD115404A,HD 115404 A c,Radial Velocity,2022,15319.2252,,3279.6713,42.401,0.211,312.056,2441172.404,,2446265.21,25.791,50.6
