,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
872,HD22049_HARPS03_3.2.5_Snaky,HD22049,HARPS03,3.2.5,Snaky,YV0,53.232685,-9.458261,5082.0,4.56,-0.06,85.1,5.6,-4.5,0.02,3.33,7.47,5.83,5.3,1.16,0.0,0.0,1,1
873,HD22049_HARPS03_3.3.6_Snaky,HD22049,HARPS03,3.3.6,Snaky,YV0,53.232685,-9.458261,5082.0,4.56,-0.06,85.1,5.62,-4.5,0.02,3.33,7.47,5.83,5.3,1.32,0.0,0.0,1,1
874,HD22049_HARPS03_3.5_Snaky,HD22049,HARPS03,3.5,Snaky,YV0,53.232685,-9.458261,5082.0,4.56,-0.06,87.5,4.39,-4.49,0.015,3.3,7.48,5.84,5.3,1.16,0.0,0.0,1,1
875,HD22049_HARPS15_3.2.5_Snaky,HD22049,HARPS15,3.2.5,Snaky,YV0,53.232685,-9.458261,5090.0,4.57,-0.06,73.5,7.59,-4.54,0.029,3.42,7.44,5.82,5.29,1.2,0.0,0.0,1,1
876,HD22049_HARPS15_3.3.6_Snaky,HD22049,HARPS15,3.3.6,Snaky,YV0,53.232685,-9.458261,5086.0,4.56,-0.06,73.3,7.57,-4.54,0.029,3.44,7.44,5.82,5.29,1.11,0.0,0.0,1,1
877,HD22049_HARPS15_3.5_Snaky,HD22049,HARPS15,3.5,Snaky,YV0,53.232685,-9.458261,5086.0,4.56,-0.06,78.8,4.53,-4.52,0.017,3.44,7.47,5.83,5.3,1.23,0.0,0.0,1,1
878,HD22049_NEID_1.0_Snaky,HD22049,NEID,1.0,Snaky,YV0,53.22843,-9.458171,5064.0,4.55,-0.12,42.4,5.91,-4.68,0.032,3.21,7.46,5.76,5.23,1.29,0.0,0.0,1,1
879,HD220773_SOPHIE_1.0_Snaky,HD220773,SOPHIE,1.0,Snaky,YV0,351.614167,8.643861,5998.0,4.24,0.11,4.4,18.09,-4.94,0.184,4.14,8.97,7.62,7.14,3.22,0.0,0.0,1,1
880,HD221146_CORALIE14_3.8_Snaky,HD221146,CORALIE14,3.8,Snaky,YV0,,,,,,,,,,,,,,,,,0,0
881,HD221146_HARPS03_3.3.6_Snaky,HD221146,HARPS03,3.3.6,Snaky,YV0,352.376323,-1.035896,5883.0,4.27,0.12,1.1,3.63,-4.97,0.038,3.33,8.03,6.74,6.35,2.79,0.0,0.0,1,1
882,HD221146_HARPS03_3.5_Snaky,HD221146,HARPS03,3.5,Snaky,YV0,352.376323,-1.035896,5883.0,4.27,0.12,1.0,4.0,-4.98,0.042,3.32,8.03,6.73,6.34,2.78,0.0,0.0,1,1
883,HD221354_NEID-HE_1.0_Snaky,HD221354,NEID-HE,1.0,Snaky,YV0,352.851831,59.166007,5222.0,4.5,-0.01,2.2,6.18,-4.97,0.063,4.18,7.6,6.08,5.6,0.5,0.0,0.0,1,1
884,HD221354_NEID_1.0_Snaky,HD221354,NEID,1.0,Snaky,YV0,352.851831,59.166007,5211.0,4.51,-0.03,-1.9,3.02,-5.01,0.03,3.19,7.14,5.57,5.12,1.06,0.0,0.0,1,1
885,HD221354_SOPHIE_1.0_Snaky,HD221354,SOPHIE,1.0,Snaky,YV0,352.839583,59.165528,5208.0,4.48,-0.01,-0.4,5.12,-4.99,0.056,4.14,7.58,6.13,5.66,0.59,0.0,0.0,1,1
886,HD221356_HARPS03_3.3.6_Snaky,HD221356,HARPS03,3.3.6,Snaky,YV0,352.881262,-4.087404,6028.0,4.36,-0.27,-0.4,2.74,-4.99,0.029,3.33,7.96,6.84,6.49,3.03,0.0,0.0,1,1
887,HD221356_HARPS03_3.5_Snaky,HD221356,HARPS03,3.5,Snaky,YV0,352.881262,-4.087404,6028.0,4.36,-0.27,-0.9,3.43,-5.0,0.037,3.31,7.96,6.83,6.48,3.02,0.0,0.0,1,1
888,HD221356_HARPS15_3.3.6_Snaky,HD221356,HARPS15,3.3.6,Snaky,YV0,352.881262,-4.087404,6034.0,4.35,-0.27,-1.8,3.19,-5.01,0.036,3.45,7.99,6.86,6.51,3.06,0.0,0.0,1,1
889,HD221356_HARPS15_3.5_Snaky,HD221356,HARPS15,3.5,Snaky,YV0,352.881262,-4.087404,6015.0,4.33,-0.28,-1.7,3.54,-5.01,0.039,2.89,7.99,6.86,6.51,3.06,0.0,0.0,1,1
890,HD221356_SOPHIE_1.0_Snaky,HD221356,SOPHIE,1.0,Snaky,YV0,352.880833,-4.086944,6006.0,4.34,-0.24,-0.3,84.82,-5.53,0.564,4.26,8.4,7.26,6.9,2.82,0.0,0.0,1,1
891,HD221627_HARPN_3.0.1_Snaky,HD221627,HARPN,3.0.1,Snaky,YV0,353.394984,17.818829,5795.0,4.08,0.23,0.9,12.49,-5.0,0.132,3.15,8.29,6.92,6.5,3.14,0.0,0.0,1,1
892,HD221627_HARPS03_3.3.6_Snaky,HD221627,HARPS03,3.3.6,Snaky,YV0,353.394984,17.818829,5804.0,4.09,0.23,2.5,1.64,-4.96,0.017,3.36,8.27,6.91,6.49,3.05,0.0,0.0,1,1
893,HD221627_HARPS03_3.5_Snaky,HD221627,HARPS03,3.5,Snaky,YV0,353.394984,17.818829,5804.0,4.09,0.23,2.3,1.82,-4.96,0.018,3.35,8.28,6.9,6.48,3.03,0.0,0.0,1,1
894,HD221627_SOPHIE_1.0_Snaky,HD221627,SOPHIE,1.0,Snaky,YV0,353.394583,17.818833,5785.0,4.08,0.23,0.7,28.88,-5.02,0.329,4.13,8.66,7.26,6.81,2.65,0.0,0.0,1,1
895,HD221757_SOPHIE_1.0_Snaky,HD221757,SOPHIE,1.0,Snaky,YV0,353.671458,37.799667,5984.0,4.31,-0.84,-3.8,23.6,-5.04,0.273,3.67,8.03,7.09,6.81,3.66,1.0,1.0,1,1
896,HD221830_HARPN_3.0.1_Snaky,HD221830,HARPN,3.0.1,Snaky,YV0,353.870392,31.017175,5750.0,4.26,-0.4,-1.9,12.53,-5.04,0.142,3.07,7.06,5.84,5.57,1.55,0.0,0.0,1,1
897,HD221830_SOPHIE_1.0_Snaky,HD221830,SOPHIE,1.0,Snaky,YV0,353.87,31.017167,5753.0,4.24,-0.43,-3.3,10.35,-5.02,0.123,4.07,7.58,6.41,6.08,1.08,0.0,0.0,1,1
898,HD221950_HARPS03_3.3.6_Snaky,HD221950,HARPS03,3.3.6,Snaky,YV0,354.097019,2.102221,7123.0,4.0,0.0,34.4,14.17,-4.72,0.09,3.33,15.1,11.96,10.91,9.99,1.0,1.0,1,1
899,HD222033_SOPHIE_1.0_Snaky,HD222033,SOPHIE,1.0,Snaky,YV0,354.2775,30.678028,5971.0,4.25,0.12,6.8,19.36,-4.92,0.172,4.13,9.05,7.67,7.2,3.33,0.0,0.0,1,1
900,HD222143_SOPHIE_1.0_Snaky,HD222143,SOPHIE,1.0,Snaky,YV0,354.493667,46.199417,5759.0,4.41,0.1,91.7,24.99,-4.48,0.083,4.2,8.49,7.06,6.63,2.48,0.0,0.0,1,1
901,HD222155_SOPHIE_1.0_Snaky,HD222155,SOPHIE,1.0,Snaky,YV0,354.500833,48.996528,5836.0,4.17,-0.04,3.2,13.21,-4.95,0.127,4.12,7.97,6.69,6.3,1.53,0.0,0.0,1,1
902,HD222368_HARPS03_3.3.6_Snaky,HD222368,HARPS03,3.3.6,Snaky,YV0,354.987672,5.626291,6230.0,4.2,-0.09,4.4,3.02,-4.94,0.029,3.31,10.45,8.99,8.45,5.24,0.0,0.0,1,1
903,HD222368_HARPS03_3.5_Snaky,HD222368,HARPS03,3.5,Snaky,YV0,354.987672,5.626291,6230.0,4.2,-0.09,4.1,3.1,-4.94,0.03,3.31,10.44,8.99,8.45,5.23,0.0,0.0,1,1
904,HD222368_SOPHIE_1.0_Snaky,HD222368,SOPHIE,1.0,Snaky,YV0,354.986667,5.627361,6211.0,4.19,-0.1,12.1,23.22,-4.87,0.205,4.16,10.82,9.19,8.63,4.96,0.0,0.0,1,1
905,HD22255_SOPHIE_1.0_Snaky,HD22255,SOPHIE,1.0,Snaky,YV0,53.7925,5.714,6257.0,4.27,-0.21,-32.1,51.03,-5.95,0.495,4.15,13.39,11.01,10.3,6.74,0.0,0.0,1,1
906,HD222794_HARPN_3.0.1_Snaky,HD222794,HARPN,3.0.1,Snaky,YV0,355.86268,58.080298,5752.0,4.28,-0.48,-0.4,12.23,-5.02,0.133,3.07,6.95,5.75,5.51,1.33,0.0,0.0,1,1
907,HD222794_SOPHIE_1.0_Snaky,HD222794,SOPHIE,1.0,Snaky,YV0,355.861667,58.080306,5759.0,4.25,-0.53,4.8,22.36,-4.94,0.163,4.07,7.46,6.32,6.01,0.94,0.0,0.0,1,1
908,HD223061_SOPHIE_1.0_Snaky,HD223061,SOPHIE,1.0,Snaky,YV0,356.576667,9.785083,5956.0,4.37,-0.23,-16.4,65.08,-5.31,0.464,4.14,7.7,6.53,6.24,1.31,0.0,0.0,1,1
909,HD223778_HARPN_3.0.1_Snaky,HD223778,HARPN,3.0.1,Snaky,YV0,358.105871,75.544543,5305.0,4.56,-0.46,174.0,9.87,-4.26,0.02,3.15,7.91,6.11,5.58,2.09,1.0,0.0,1,1
910,HD223778_SOPHIE_1.0_Snaky,HD223778,SOPHIE,1.0,Snaky,YV0,358.1055,75.544583,5178.0,4.63,-0.96,-158.2,,-6.91,,3.92,8.49,6.67,6.03,22.46,0.0,1.0,1,1
911,HD223788_SOPHIE_1.0_Snaky,HD223788,SOPHIE,1.0,Snaky,YV0,358.165,54.268806,6244.0,4.24,-0.04,-18.3,60.67,-5.59,0.483,4.13,13.92,11.4,10.59,7.04,0.0,0.0,1,1
912,HD22403_HARPS03_3.3.6_Snaky,HD22403,HARPS03,3.3.6,Snaky,YV0,54.295992,25.991098,4940.0,3.5,0.01,,,,,3.36,58.8,58.2,145.69,,0.0,0.0,0,1
913,HD22484_SOPHIE_1.0_Snaky,HD22484,SOPHIE,1.0,Snaky,YV0,54.21825,0.401639,6092.0,4.27,-0.02,1.9,18.88,-4.97,0.172,4.23,8.93,7.63,7.17,3.18,0.0,0.0,1,1
914,HD224930_SOPHIE_1.0_Snaky,HD224930,SOPHIE,1.0,Snaky,YV0,0.542292,27.08225,5450.0,4.51,-0.75,2.6,6.68,-4.96,0.068,4.16,7.09,5.82,5.46,0.43,0.0,1.0,1,1
915,HD225097_SOPHIE_1.0_Snaky,HD225097,SOPHIE,1.0,Snaky,YV0,0.857917,20.665528,5869.0,4.28,0.0,50.4,57.01,-4.66,0.365,4.19,9.36,8.24,7.81,3.99,0.0,1.0,1,1
916,HD22521_SOPHIE_1.0_Snaky,HD22521,SOPHIE,1.0,Snaky,YV0,54.738333,42.538306,6046.0,4.29,-0.08,2.7,58.85,-4.98,0.434,4.22,8.55,7.33,6.92,2.77,0.0,1.0,1,1
917,HD22879_CORALIE14_3.8_Snaky,HD22879,CORALIE14,3.8,Snaky,YV0,55.091938,-3.216979,3496.0,5.0,0.0,,,,,2.82,8.15,6.5,7.39,4.25,1.0,0.0,1,1
918,HD22879_ESPRESSO19_3.2.5_Snaky,HD22879,ESPRESSO19,3.2.5,Snaky,YV0,55.091938,-3.216979,5852.0,4.36,-0.85,-1.3,,-5.0,,2.73,6.73,5.62,5.45,1.06,0.0,0.0,1,1
919,HD22879_ESPRESSO19_3.3.1_Snaky,HD22879,ESPRESSO19,3.3.1,Snaky,YV0,55.091938,-3.216979,5852.0,4.36,-0.85,-1.5,,-5.0,,2.74,6.73,5.62,5.46,1.06,0.0,0.0,1,1
920,HD22879_HARPS03_3.3.6_Snaky,HD22879,HARPS03,3.3.6,Snaky,YV0,55.091938,-3.216979,5853.0,4.35,-0.85,-2.1,2.96,-5.01,0.033,3.34,6.83,5.78,5.63,1.16,0.0,0.0,1,1
921,HD22879_HARPS03_3.5_Snaky,HD22879,HARPS03,3.5,Snaky,YV0,55.091938,-3.216979,5853.0,4.35,-0.85,-2.3,3.29,-5.01,0.037,3.33,6.83,5.78,5.62,1.15,0.0,0.0,1,1
922,HD22879_HARPS15_3.3.6_Snaky,HD22879,HARPS15,3.3.6,Snaky,YV0,55.091938,-3.216979,5853.0,4.35,-0.85,-2.6,3.14,-5.02,0.035,3.43,6.86,5.81,5.64,1.13,0.0,0.0,1,1
923,HD22879_HARPS15_3.5_Snaky,HD22879,HARPS15,3.5,Snaky,YV0,55.091938,-3.216979,5853.0,4.35,-0.85,-2.8,3.31,-5.02,0.037,3.44,6.86,5.81,5.64,1.12,0.0,0.0,1,1
924,HD22879_SOPHIE_1.0_Snaky,HD22879,SOPHIE,1.0,Snaky,YV0,55.09025,-3.216472,6549.0,4.0,0.0,-7.5,,-5.1,,4.07,7.33,6.29,6.04,1.26,0.0,0.0,1,1
925,HD23050_SOPHIE_1.0_Snaky,HD23050,SOPHIE,1.0,Snaky,YV0,55.948333,42.603361,5853.0,4.31,-0.38,-7.2,46.13,-5.1,0.451,4.13,7.6,6.44,6.14,1.16,0.0,0.0,1,1
926,HD23140_SOPHIE_1.0_Snaky,HD23140,SOPHIE,1.0,Snaky,YV0,56.202458,46.036083,5276.0,4.5,-0.07,41.5,11.27,-4.68,0.058,3.97,7.7,6.18,5.68,0.78,0.0,1.0,1,1
927,HD2330_SOPHIE_1.0_Snaky,HD2330,SOPHIE,1.0,Snaky,YV0,6.860833,26.278806,6002.0,4.27,0.16,5.1,47.65,-4.98,0.406,4.15,9.09,7.73,7.26,3.39,0.0,0.0,1,1
928,HD23965_SOPHIE_1.0_Snaky,HD23965,SOPHIE,1.0,Snaky,YV0,57.514583,22.591611,6167.0,4.3,-0.13,94.1,59.02,-4.46,0.206,4.16,14.31,11.58,10.78,7.29,0.0,0.0,1,1
929,HD24040_SOPHIE_1.0_Snaky,HD24040,SOPHIE,1.0,Snaky,YV0,57.595833,17.476361,5772.0,4.27,0.14,1.3,15.52,-4.97,0.165,4.1,8.33,7.0,6.57,2.64,0.0,0.0,1,1
930,HD24206_SOPHIE_1.0_Snaky,HD24206,SOPHIE,1.0,Snaky,YV0,58.023104,22.671611,5638.0,4.47,-0.07,30.4,29.04,-4.75,0.336,4.15,7.7,6.3,5.93,0.94,0.0,0.0,1,1
931,HD24213_SOPHIE_1.0_Snaky,HD24213,SOPHIE,1.0,Snaky,YV0,58.047458,25.163056,5957.0,4.27,0.1,-7.0,53.94,-5.55,0.542,4.12,8.79,7.51,7.08,3.15,0.0,0.0,1,1
932,HD24421_SOPHIE_1.0_Snaky,HD24421,SOPHIE,1.0,Snaky,YV0,58.904583,52.226806,6105.0,4.27,-0.29,10.7,43.13,-4.91,0.382,3.34,8.02,6.89,6.56,2.55,0.0,0.0,1,1
933,HD24496A_HARPS03_3.3.6_Snaky,HD24496A,HARPS03,3.3.6,Snaky,YV0,58.616805,16.616053,5546.0,4.44,0.02,9.2,18.91,-4.92,0.172,3.39,7.11,5.68,5.33,1.0,0.0,0.0,1,1
934,HD24496A_HARPS03_3.5_Snaky,HD24496A,HARPS03,3.5,Snaky,YV0,58.616805,16.616053,5554.0,4.44,0.04,6.9,21.3,-4.95,0.207,3.37,7.11,5.67,5.32,1.0,0.0,0.0,1,1
935,HD25173_SOPHIE_1.0_Snaky,HD25173,SOPHIE,1.0,Snaky,YV0,61.84875,75.175028,6060.0,4.28,-0.43,-13.1,44.3,-5.2,0.413,4.17,8.1,7.01,6.63,2.79,0.0,0.0,1,1
936,HD25457_HARPS03_3.3.6_Snaky,HD25457,HARPS03,3.3.6,Snaky,YV0,60.653101,-0.268922,6242.0,4.2,0.1,142.9,14.88,-4.33,0.036,3.32,27.52,26.86,25.65,23.68,0.0,0.0,1,1
937,HD25457_HARPS03_3.5_Snaky,HD25457,HARPS03,3.5,Snaky,YV0,60.653101,-0.268922,6242.0,4.2,0.1,156.0,8.84,-4.3,0.02,3.22,27.48,26.84,25.47,23.52,0.0,0.0,1,1
938,HD25457_HARPS15_3.3.6_Snaky,HD25457,HARPS15,3.3.6,Snaky,YV0,60.653101,-0.268922,6209.0,4.19,0.11,145.2,21.48,-4.33,0.05,3.22,27.7,27.19,26.3,24.26,0.0,0.0,1,1
939,HD25457_SOPHIE_1.0_Snaky,HD25457,SOPHIE,1.0,Snaky,YV0,60.654167,-0.268889,6196.0,4.14,0.13,145.3,13.47,-4.32,0.032,4.33,27.54,26.83,26.08,23.15,0.0,0.0,1,1
940,HD25463_SOPHIE_1.0_Snaky,HD25463,SOPHIE,1.0,Snaky,YV0,60.747917,9.2085,6427.0,4.18,-0.07,-59.9,84.51,-6.48,0.497,4.18,18.03,16.7,15.9,11.28,0.0,0.0,1,1
941,HD25665_SOPHIE_1.0_Snaky,HD25665,SOPHIE,1.0,Snaky,YV0,62.395958,69.541389,4958.0,4.51,-0.01,10.0,20.65,-4.95,0.182,4.34,7.65,6.05,5.46,0.59,0.0,0.0,1,1
942,HD26161_SOPHIE_1.0_Snaky,HD26161,SOPHIE,1.0,Snaky,YV0,62.411917,31.652139,6111.0,4.28,-0.02,-4.7,13.74,-5.04,0.183,4.14,8.93,7.65,7.19,3.19,0.0,0.0,1,1
943,HD2663_SOPHIE_1.0_Snaky,HD2663,SOPHIE,1.0,Snaky,YV0,7.8025,69.785278,6063.0,4.31,-0.38,17.0,50.93,-4.93,0.439,4.27,8.44,7.27,6.9,2.77,0.0,0.0,1,1
944,HD26749_HARPS03_3.3.6_Snaky,HD26749,HARPS03,3.3.6,Snaky,YV0,63.576216,12.348097,5764.0,4.32,-0.23,0.5,15.43,-5.03,0.167,3.46,7.18,5.92,5.65,1.45,0.0,0.0,1,1
945,HD26749_SOPHIE_1.0_Snaky,HD26749,SOPHIE,1.0,Snaky,YV0,63.575833,12.348111,5715.0,4.36,-0.31,1.4,12.97,-4.97,0.142,4.22,7.62,6.41,6.08,1.11,0.0,0.0,1,1
946,HD26784_HARPS03_3.3.6_Snaky,HD26784,HARPS03,3.3.6,Snaky,YV0,63.643087,10.701387,6110.0,4.14,0.2,64.1,19.58,-4.58,0.082,3.56,25.38,24.5,23.81,21.14,0.0,0.0,1,1
947,HD26913_HARPS03_3.3.6_Snaky,HD26913,HARPS03,3.3.6,Snaky,YV0,63.857446,6.199653,5657.0,4.51,-0.02,138.4,11.6,-4.34,0.028,3.32,10.43,8.75,8.2,5.37,0.0,0.0,1,1
948,HD26913_HARPS03_3.5_Snaky,HD26913,HARPS03,3.5,Snaky,YV0,63.857446,6.199653,5657.0,4.51,-0.02,138.3,11.11,-4.34,0.027,3.3,10.39,8.71,8.17,5.32,0.0,0.0,1,1
949,HD26913_SOPHIE_1.0_Snaky,HD26913,SOPHIE,1.0,Snaky,YV0,63.858333,6.199722,5717.0,4.5,0.0,137.8,27.49,-4.34,0.068,3.96,10.76,8.94,8.34,5.03,0.0,0.0,1,1
950,HD26923_HARPS03_3.3.6_Snaky,HD26923,HARPS03,3.3.6,Snaky,YV0,63.870002,6.186861,5924.0,4.35,-0.05,106.0,16.03,-4.43,0.047,3.3,7.55,6.19,5.88,1.87,0.0,0.0,1,1
951,HD26923_HARPS03_3.5_Snaky,HD26923,HARPS03,3.5,Snaky,YV0,63.870002,6.186861,5928.0,4.34,-0.06,98.1,12.39,-4.45,0.037,3.22,7.55,6.18,5.87,1.83,0.0,0.0,1,1
952,HD26923_HARPS15_3.3.6_Snaky,HD26923,HARPS15,3.3.6,Snaky,YV0,63.870002,6.186861,5918.0,4.37,-0.04,88.0,29.31,-4.49,0.098,3.46,7.58,6.21,5.91,2.0,0.0,0.0,1,1
953,HD26923_SOPHIE_1.0_Snaky,HD26923,SOPHIE,1.0,Snaky,YV0,63.870833,6.186944,5928.0,4.4,-0.08,89.3,19.58,-4.48,0.063,3.96,7.98,6.63,6.26,1.44,0.0,0.0,1,1
954,HD26965_ESPRESSO18_3.3.1_Snaky,HD26965,ESPRESSO18,3.3.1,Snaky,YV0,63.817998,-7.652869,5095.0,4.54,-0.32,12.4,,-4.87,,2.74,6.76,5.23,4.82,0.66,0.0,0.0,1,1
955,HD26965_HARPN_3.0.1_Snaky,HD26965,HARPN,3.0.1,Snaky,YV0,63.817998,-7.652869,5095.0,4.54,-0.32,2.4,4.54,-4.96,0.046,3.16,6.81,5.32,4.9,0.58,0.0,0.0,1,1
956,HD26965_HARPS03_3.3.6_Snaky,HD26965,HARPS03,3.3.6,Snaky,YV0,63.817998,-7.652869,5127.0,4.54,-0.3,2.3,3.33,-4.96,0.032,3.33,6.85,5.38,4.95,0.5,0.0,0.0,1,1
957,HD26965_HARPS03_3.5_Snaky,HD26965,HARPS03,3.5,Snaky,YV0,63.817998,-7.652869,5127.0,4.54,-0.3,2.0,3.19,-4.97,0.031,3.32,6.85,5.37,4.94,0.5,0.0,0.0,1,1
958,HD26965_HARPS15_3.3.6_Snaky,HD26965,HARPS15,3.3.6,Snaky,YV0,63.817998,-7.652869,5095.0,4.54,-0.32,5.4,2.4,-4.93,0.023,3.44,6.89,5.41,4.99,0.51,0.0,0.0,1,1
959,HD26965_HARPS15_3.5_Snaky,HD26965,HARPS15,3.5,Snaky,YV0,63.817998,-7.652869,5095.0,4.54,-0.32,5.0,2.63,-4.94,0.025,3.44,6.89,5.41,4.99,0.5,0.0,0.0,1,1
960,HD26965_NEID_1.0_Snaky,HD26965,NEID,1.0,Snaky,YV0,63.808267,-7.667603,5116.0,4.55,-0.35,2.8,2.7,-4.96,0.026,3.21,6.88,5.33,4.9,0.49,0.0,0.0,1,1
961,HD26990_HARPS03_3.3.6_Snaky,HD26990,HARPS03,3.3.6,Snaky,YV0,64.06878,7.159436,5699.0,4.47,-0.1,61.3,4.45,-4.59,0.019,3.38,8.54,7.14,6.61,3.49,0.0,0.0,1,1
962,HD26990_HARPS03_3.5_Snaky,HD26990,HARPS03,3.5,Snaky,YV0,64.06878,7.159436,5689.0,4.48,-0.07,59.5,11.0,-4.6,0.048,3.37,8.49,7.03,6.49,3.49,0.0,0.0,1,1
963,HD27383_HARPS03_3.3.6_Snaky,HD27383,HARPS03,3.3.6,Snaky,YV0,64.978586,16.522562,6156.0,4.23,0.07,97.6,22.01,-4.46,0.069,3.48,18.94,12.44,9.69,7.46,0.0,0.0,1,1
964,HD27383_SOPHIE_1.0_Snaky,HD27383,SOPHIE,1.0,Snaky,YV0,64.978542,16.522583,5970.0,4.32,0.07,63.6,15.84,-4.58,0.066,4.29,20.26,12.23,9.68,7.16,0.0,0.0,1,1
965,HD27495_SOPHIE_1.0_Snaky,HD27495,SOPHIE,1.0,Snaky,YV0,65.50125,39.933972,6023.0,4.24,0.21,7.1,42.13,-4.99,0.36,3.79,8.45,7.09,6.67,2.17,0.0,0.0,1,1
966,HD27534_HARPS03_3.3.6_Snaky,HD27534,HARPS03,3.3.6,Snaky,YV0,65.384452,18.417582,4988.0,3.5,-0.01,-7.2,,-5.07,,2.63,70.95,69.29,214.4,73.61,1.0,0.0,1,1
967,HD27534_SOPHIE_1.0_Snaky,HD27534,SOPHIE,1.0,Snaky,YV0,65.384583,18.417611,4992.0,3.5,-0.02,-8.2,10.85,-5.09,0.136,4.19,70.96,69.32,187.21,72.52,0.0,0.0,1,1
968,HD27642_SOPHIE_1.0_Snaky,HD27642,SOPHIE,1.0,Snaky,YV0,65.442917,2.390111,6183.0,4.24,0.01,-5.7,78.53,-5.21,0.504,4.04,10.56,8.98,8.4,4.75,0.0,1.0,1,1
969,HD27731_HARPS03_3.3.6_Snaky,HD27731,HARPS03,3.3.6,Snaky,YV0,65.876668,24.405408,5000.0,3.5,-0.02,,,,,3.39,61.52,60.07,186.64,,1.0,0.0,0,1
970,HD27808_HARPS03_3.3.6_Snaky,HD27808,HARPS03,3.3.6,Snaky,YV0,66.060724,21.736245,6237.0,4.17,0.14,95.9,24.74,-4.47,0.079,3.47,18.53,17.12,16.64,12.34,0.0,0.0,1,1
971,HD27848_HARPS03_3.3.6_Snaky,HD27848,HARPS03,3.3.6,Snaky,YV0,66.092805,17.078954,5000.0,3.5,-0.02,-9.4,,-5.11,,3.37,57.05,58.21,183.64,57.74,1.0,0.0,1,1
972,HD27848_SOPHIE_1.0_Snaky,HD27848,SOPHIE,1.0,Snaky,YV0,66.092792,17.078944,5286.0,3.5,0.09,-5.6,,-5.06,,4.58,56.7,58.49,186.65,55.67,1.0,0.0,1,1
973,HD27991_HARPS03_3.3.6_Snaky,HD27991,HARPS03,3.3.6,Snaky,YV0,66.40551,15.941023,6143.0,4.1,0.18,73.7,20.64,-4.54,0.078,3.35,27.85,12.7,11.01,8.16,0.0,0.0,1,1
974,HD27991_SOPHIE_1.0_Snaky,HD27991,SOPHIE,1.0,Snaky,YV0,66.405208,15.941083,6506.0,4.0,0.0,70.4,,-4.55,,3.97,40.15,11.91,10.42,22.02,0.0,0.0,1,1
975,HD28005_HARPN_3.0.1_Snaky,HD28005,HARPN,3.0.1,Snaky,YV0,66.852934,46.853154,5764.0,4.28,0.29,2.3,3.14,-4.96,0.034,3.13,7.92,6.5,6.09,2.75,0.0,0.0,1,1
976,HD28005_SOPHIE_1.0_Snaky,HD28005,SOPHIE,1.0,Snaky,YV0,66.852917,46.853139,5755.0,4.32,0.27,4.7,9.85,-4.94,0.091,4.15,8.34,6.96,6.51,2.53,0.0,0.0,1,1
977,HD28033_HARPS03_3.3.6_Snaky,HD28033,HARPS03,3.3.6,Snaky,YV0,66.577076,21.47043,6012.0,4.26,0.16,-0.8,18.11,-5.08,0.208,3.44,8.85,7.57,7.14,3.95,0.0,0.0,1,1
978,HD28069_HARPS03_3.3.6_Snaky,HD28069,HARPS03,3.3.6,Snaky,YV0,66.48891,5.150145,5356.0,3.5,0.04,23.7,,-4.79,,3.41,37.75,39.87,36.73,37.02,0.0,0.0,1,1
979,HD28205_HARPS03_3.3.6_Snaky,HD28205,HARPS03,3.3.6,Snaky,YV0,66.899547,15.589192,6037.0,4.25,0.11,67.6,19.37,-4.57,0.078,3.51,15.21,14.24,13.87,10.02,0.0,0.0,1,1
980,HD28205_SOPHIE_1.0_Snaky,HD28205,SOPHIE,1.0,Snaky,YV0,66.899583,15.589194,6116.0,4.38,0.13,96.4,55.21,-4.46,0.171,4.21,15.06,12.27,11.52,7.92,0.0,0.0,1,1
981,HD28237_HARPS03_3.3.6_Snaky,HD28237,HARPS03,3.3.6,Snaky,YV0,66.941977,11.736419,6036.0,4.36,0.1,100.1,20.21,-4.45,0.062,3.51,13.96,11.44,10.75,7.59,0.0,0.0,1,1
982,HD28237_SOPHIE_1.0_Snaky,HD28237,SOPHIE,1.0,Snaky,YV0,66.94202,11.736403,6000.0,4.39,0.06,79.1,50.06,-4.52,0.17,4.06,14.2,11.65,10.86,8.91,0.0,0.0,1,1
983,HD28363_SOPHIE_1.0_Snaky,HD28363,SOPHIE,1.0,Snaky,YV0,67.249042,16.159083,5793.0,4.44,-0.55,14.6,12.81,-4.87,0.101,4.13,8.72,6.91,6.46,2.15,1.0,0.0,1,1
984,HD28406_HARPS03_3.3.6_Snaky,HD28406,HARPS03,3.3.6,Snaky,YV0,67.376461,17.863165,5304.0,3.5,0.07,-3.7,,-5.04,,3.73,50.35,51.25,187.81,50.02,0.0,0.0,1,1
985,HD28406_SOPHIE_1.0_Snaky,HD28406,SOPHIE,1.0,Snaky,YV0,67.376458,17.863139,5304.0,3.5,0.07,-4.1,,-5.04,,4.31,50.01,51.41,171.17,48.06,0.0,0.0,1,1
986,HD28568_HARPS03_3.3.6_Snaky,HD28568,HARPS03,3.3.6,Snaky,YV0,,,,,,,,,,,,,,,,,0,0
987,HD28568_SOPHIE_1.0_Snaky,HD28568,SOPHIE,1.0,Snaky,YV0,67.694958,16.148694,6953.0,4.0,0.0,60.2,,-4.66,,4.29,100.44,89.13,257.88,105.08,0.0,0.0,1,1
