,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
603,HD18757_SOPHIE_1.0_Snaky,HD18757,SOPHIE,1.0,Snaky,YV0,46.04,61.705833,5657.0,4.43,-0.3,-1.5,9.99,-5.0,0.13,4.01,7.47,6.22,5.88,1.0,0.0,0.0,1,1
604,HD187637_HARPN_3.0.1_Snaky,HD187637,HARPN,3.0.1,Snaky,YV0,297.325578,41.582461,6188.0,4.2,-0.14,-7.2,18.79,-5.14,0.275,3.1,8.73,7.58,7.17,3.77,0.0,0.0,1,1
605,HD187637_SOPHIE_1.0_Snaky,HD187637,SOPHIE,1.0,Snaky,YV0,297.325,41.5825,6217.0,4.22,-0.16,-19.4,51.12,-5.54,0.493,3.34,9.15,7.87,7.4,4.17,0.0,0.0,1,1
606,HD18768_HARPN_3.0.1_Snaky,HD18768,HARPN,3.0.1,Snaky,YV0,45.717794,47.110551,6003.0,4.17,-0.36,3.3,15.01,-4.99,0.15,3.06,7.4,6.24,5.96,2.14,0.0,0.0,1,1
607,HD18768_SOPHIE_1.0_Snaky,HD18768,SOPHIE,1.0,Snaky,YV0,45.7175,47.110556,6023.0,4.28,-0.3,6.9,36.74,-4.92,0.238,3.86,7.91,6.75,6.38,1.64,0.0,0.0,1,1
608,HD187691_HARPS03_3.3.6_Snaky,HD187691,HARPS03,3.3.6,Snaky,YV0,297.756848,10.41572,6107.0,4.17,0.11,2.2,2.59,-4.96,0.026,3.35,8.65,7.4,7.0,3.57,0.0,0.0,1,1
609,HD187691_HARPS03_3.5_Snaky,HD187691,HARPS03,3.5,Snaky,YV0,297.756848,10.41572,6107.0,4.17,0.11,2.1,3.53,-4.96,0.035,3.15,8.65,7.4,6.99,3.55,0.0,0.0,1,1
610,HD187691_SOPHIE_1.0_Snaky,HD187691,SOPHIE,1.0,Snaky,YV0,297.756667,10.415722,6074.0,4.18,0.11,3.4,22.99,-4.97,0.26,3.92,9.07,7.76,7.32,3.34,0.0,0.0,1,1
611,HD187748_SOPHIE_1.0_Snaky,HD187748,SOPHIE,1.0,Snaky,YV0,297.064167,59.422889,5903.0,4.39,0.02,112.5,57.95,-4.42,0.211,4.3,11.36,9.47,8.93,6.45,0.0,0.0,1,1
612,HD187897_SOPHIE_1.0_Snaky,HD187897,SOPHIE,1.0,Snaky,YV0,298.03875,7.460028,5795.0,4.38,0.03,64.4,13.86,-4.58,0.057,4.25,9.22,7.78,7.27,3.61,0.0,0.0,1,1
