,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,ID,WDS_code,hip,Sptype,mv1,mv2,period,ecc,prlx,semi_arcsec,semi_AU,inc,Mdyn,Mph,Msp,M1,M2,origin,bibcode,Ms2,node,T0,omega,sep_arcsec,sep_last,vmag,plx,dist,Ms,Flux_ratio,WDS(code),Ms1,src
606,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,em+,18.7,,0.2,0.0,,,,,,,,,,Pourbaix+04,1984ApJ...282..763S,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,113
607,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,CEMP-s+,12.51,,404.6,0.03,,,,,,,,,,Pourbaix+04,2015A&A...MMM..NNNJ,,,,242.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,114
608,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,WO3+,15.85,,16.7,0.0,,,,,,,,,,Pourbaix+04,2001MNRAS.324...33B,,,,180.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,115
609,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,CEMP-s+,12.5,,402.8,0.02,,,,,,,,,,Pourbaix+04,2015A&A...MMM..NNNJ,,,,271.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,134
610,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,O7:+:,14.5,,4.3,0.0,,,,,,,,,,Pourbaix+04,1987AJ.....94..340H,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,133
611,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,B3V+,16.9,,1.8,0.0,,,,,,,,,,Pourbaix+04,1983ApJ...272..118C,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,132
612,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,+,15.8,,0.3,0.0,,,,,,,,,,Pourbaix+04,2010PASP..122.1285T,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,131
613,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,B+,15.7,,16.7,0.82,,,,,,,,,,Pourbaix+04,1985PASP...97..418H,,,,222.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,130
614,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,+,17.4,,0.1,0.0,,,,,,,,,,Pourbaix+04,2012AJ....144...81T,,,,270.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,129
615,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,+,18.66,,0.1,0.0,,,,,,,,,,Pourbaix+04,2012AJ....144...81T,,,,270.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,128
616,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,WD+M+,,,1.0,0.0,,,,,,,,,,Pourbaix+04,2011A&A...536A..43N,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,127
617,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,dK3e+,12.5,,0.7,0.0,,,,,,,,,,Pourbaix+04,2002AJ....123.1701T,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,126
618,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,G2V+,10.28,,0.4,0.0,,,,,,,,,,Pourbaix+04,1999AJ....118..515L,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,125
619,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,+,12.85,,616.8,0.68,,,,,,,,,,Pourbaix+04,2002AJ....124.1144L,,,,140.2,0.0,,6.717,26.4371,37.826,,,08468+0625,,124
620,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,M2III+,15.24,,828.2,0.26,,,,,,,,,,Pourbaix+04,2015AJ....150...48F,,,,180.6,0.0,,6.717,26.4371,37.826,,,08468+0625,,123
621,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,+,14.83,,91.4,0.45,,,,,,,,,,Pourbaix+04,2014AJ....148...38M,,,,115.6,0.0,,6.717,26.4371,37.826,,,08468+0625,,122
622,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,K1V+,13.7,,18.4,0.21,,,,,,,,,,Pourbaix+04,2003AJ....125..246M,,,,95.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,121
623,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,WO3+,15.85,,16.7,0.03,,,,,,,,,,Pourbaix+04,2001MNRAS.324...33B,,,,197.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,120
624,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,M5.0V+,12.67,,154.2,0.54,,,,,,,,,,Pourbaix+04,2018A&A...619A..32B,,,,275.8,0.0,,6.717,26.4371,37.826,,,08468+0625,,119
625,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,08468+0625,,,3.38,,15.1,,,0.25,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,6.717,26.4371,37.826,,,08468+0625,,2
626,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,O4V+WO4,12.7,,16.7,0.0,,,,,,,,,,Pourbaix+04,1985ApJ...292..511M,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,118
627,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,B0I+,13.15,13.35,3.9,0.0,,,,,,,,,,Pourbaix+04,1977ApJ...217..543P,,,,0.0,0.0,,6.717,26.4371,37.826,,83.18,08468+0625,,117
628,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,O7+,13.9,,1.5,0.0,,,,,,,,,,Pourbaix+04,1978ApJ...225..548H,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,116
629,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,DA+dM:e+,15.7,,1.6,0.0,,,,,,,,,,Pourbaix+04,2011A&A...536A..43N,,,,0.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,328
630,epsHyaC,Gaia DR3 583151353574583424,-,HIP43109C,-,-,-,epsHyaC,J08468+0625C,F7V,SB*,131.6932,6.4192,165,,-,M4.0V+,11.05,,812.0,0.4,,,,,,,,,,Pourbaix+04,2018A&A...619A..32B,,,,239.0,0.0,,6.717,26.4371,37.826,,,08468+0625,,361
631,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,14.64,15.63,4734.3,0.82,,,,100.01,,,,,,ORB6,Grv2021c,0.96,148.32,1800.23,117.49,,,7.464,16.1711,61.839,1.21,40.18,09245+0621,,5
632,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,,,568.4,,,1.84,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.464,16.1711,61.839,1.21,,09245+0621,,2
633,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,F7V,7.45,7.57,,,,,,,,,,,,WDS_THE.csv,,1.18,,,,1.1,1.9,7.464,16.1711,61.839,1.21,89.54,09245+0621,,9
634,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,,,4734.3,,,6.26,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.464,16.1711,61.839,1.21,,09245+0621,,3
635,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,14.64,15.63,8612.9,0.83,,,,98.61,,,,,,ORB6,Grv2021c,0.96,35.97,1839.8,317.36,,,7.464,16.1711,61.839,1.21,40.18,09245+0621,,6
636,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,14.64,15.63,568.4,0.89,,,,106.86,,,,,,ORB6,Grv2021c,0.96,159.21,1800.0,63.73,,,7.464,16.1711,61.839,1.21,40.18,09245+0621,,7
637,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,7.5,7.6,4734.0,0.82,,6.3,,100.0,,,,,,StelleDoppie,ORB6,1.18,148.0,1800.0,118.0,,,7.464,16.1711,61.839,1.21,91.2,09245+0621,,8
638,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,,,8612.9,,,9.33,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.464,16.1711,61.839,1.21,,09245+0621,,4
639,HD81212B,Gaia DR3 585739741384499072,HD81212B,-,-,-,-,-,J09245+0621B,-,PM*,141.1187,6.3505,166,09245+0621,,,14.64,15.63,4734.3,0.825,,6.279999999999999,,100.005,,,,,,COMPOSITE,,0.96,148.16,1800.115,117.745,1.1,,7.464,16.1711,61.839,1.21,40.18,09245+0621,,1
640,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,167,09273+0614,,,7.71,7.76,1073.8,0.755,,2.5300000000000002,,60.16,,,,,,COMPOSITE,,1.03,23.83,2082.53,93.88,1.7,,7.574,18.7669,53.285,1.045,,09273+0614,,1
641,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,167,09273+0614,,F7V,7.71,7.76,,,,,,,,,,,,WDS_THE.csv,,1.03,,,,1.7,1.7,7.574,18.7669,53.285,1.045,95.5,09273+0614,,5
642,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,167,09273+0614,HIP46367,F7V           ,7.71,7.76,591.0,0.62,18.41,1.73,,,,,,,,Malkov+12,2012A&A...546A..69M,1.03,,,,,,7.574,18.7669,53.285,1.045,95.5,09273+0614,,3
643,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,167,09273+0614,HIP46367,,7.71,7.76,1073.8,0.89,,,,60.16,,,,,,ORB6,Izm2019,1.03,23.83,2082.53,93.88,,,7.574,18.7669,53.285,1.045,95.5,09273+0614,,4
644,HD81670A,Gaia DR3 586050112901137920,HD81670A,-,-,-,-,-,J09273+0614A,-,PM*,141.8196,6.2328,167,09273+0614,,,6.9,,1073.8,,,3.33,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.574,18.7669,53.285,1.045,,09273+0614,,2
645,HD73668A,Gaia DR3 594641009565720192,HD73668A,HIP42488,-,TIC393124350,-,-,"J08397+0546Aa,Ab",G1V,PM*,129.9325,5.7642,169,08397+0546,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.258,28.2281,35.426,1.005,,08397+0546,,2
646,HD73668A,Gaia DR3 594641009565720192,HD73668A,HIP42488,-,TIC393124350,-,-,"J08397+0546Aa,Ab",G1V,PM*,129.9325,5.7642,169,08397+0546,,,,,,,,,,,,,,,,COMPOSITE,,,,,,,,7.258,28.2281,35.426,1.005,,08397+0546,,1
647,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,08358+0637,,G8V+L5.0,7.16,,,,,,,,,,,,,WDS_THE.csv,,,,,,0.2,0.2,5.618,38.4212,26.027,1.155,,08358+0637,,7
648,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,08358+0637,HIP42172,,5.98,7.16,1959.0,0.44,,,,95.5,,,,,,ORB6,Bdt2021b,0.88,27.0,3052.41,68.9,,,5.618,38.4212,26.027,1.155,33.73,08358+0637,,2
649,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,,HIP42172,F5+,5.99,,14.3,0.28,,,,,,,,,,Pourbaix+04,1919ApJ....50..391J,,,,220.8,0.24,,5.618,38.4212,26.027,1.155,,08358+0637,,4
650,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,,HIP42172,F5+,5.99,,14.3,0.33,,,,,,,,,,Pourbaix+04,1991A&A...248..485D,,,,227.1,0.24,,5.618,38.4212,26.027,1.155,,08358+0637,,5
651,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,08358+0637,,,5.995,7.18,16.0,0.44,,7.8,,95.5,,,,,,COMPOSITE,,0.88,27.0,3052.0,220.8,0.24,,5.618,38.4212,26.027,1.155,33.11,08358+0637,,1
652,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,08358+0637,HIP42173,,7.16,,16.0,0.5,,,,63.14,,,,,,ORB6,VI_2023,,354.6,2028.15,248.84,,,5.618,38.4212,26.027,1.155,,08358+0637,,3
653,HD72945,Gaia DR3 594989348593414016,HD72945,HIP42172,GJ310.1A+GJ9271A,TIC468986279,-,-,J08358+0637A,F8V,SB*,128.9624,6.6202,170,08358+0637,,,6.0,7.2,1960.0,0.44,,7.8,,96.0,,,,,,StelleDoppie,ORB6,0.88,27.0,3052.0,69.0,,,5.618,38.4212,26.027,1.155,33.11,08358+0637,,6
654,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,172,,HIP43557,dG1+,6.57,9.8,10.3,0.05,,,,,,,,,,COMPOSITE,,0.31,,,157.0,0.2,,6.583,43.5436,22.965,0.925,,08523+0804,,1
655,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,172,,HIP43557,dG1+,6.57,,10.3,0.1,,,,,,,,,,Pourbaix+04,1931ApJ....74..201S,,,,314.0,0.2,,6.583,43.5436,22.965,0.925,,08523+0804,,2
656,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,172,,HIP43557,dG1+,6.57,,10.3,0.0,,,,,,,,,,Pourbaix+04,1991BASI...19..183G,,,,0.0,0.2,,6.583,43.5436,22.965,0.925,,08523+0804,,3
657,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,172,08523+0804,,G0V,5.0,9.8,,,,,,,,,,,,WDS_THE.csv,,0.31,,,,3.2,3.2,6.583,43.5436,22.965,0.925,1.2,08523+0804,,5
658,HD75767,Gaia DR3 596878550087942528,HD75767,HIP43557,-,TIC459056725,-,-,J08523+0804A,G1.5V,SB*,133.0683,8.0629,172,08523+0804,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,6.583,43.5436,22.965,0.925,,08523+0804,,4
659,HD73667,Gaia DR3 602079652404802688,HD73667,HIP42499,GJ315+GJ315.0,TIC443965212,-,-,J08398+1131A,K2V,PM*,129.9616,11.5227,174,08398+1131,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.627,54.2513,18.433,0.675,,08398+1131,,2
660,HD73667,Gaia DR3 602079652404802688,HD73667,HIP42499,GJ315+GJ315.0,TIC443965212,-,-,J08398+1131A,K2V,PM*,129.9616,11.5227,174,08398+1131,,,,,,,,,,,,,,,,COMPOSITE,,,,,,,,7.627,54.2513,18.433,0.675,,08398+1131,,1
661,HD85091,Gaia DR3 613075249718020736,HD85091,HIP48215,-,TIC377041106,-,-,-,F8,RS*,147.4521,11.1064,175,,HIP48215,dG0+,7.62,,3.4,0.0,,,,,,,,,,Pourbaix+04,1983A&AS...54..187C,,,,0.0,0.05,,7.628,22.6729,44.106,0.855,,-,,2
662,HD85091,Gaia DR3 613075249718020736,HD85091,HIP48215,-,TIC377041106,-,-,-,F8,RS*,147.4521,11.1064,175,,HIP48215,dG0+,7.62,,3.4,0.01,,,,,,,,,,Pourbaix+04,2002AJ....124.1144L,,,,321.0,0.05,,7.628,22.6729,44.106,0.855,,-,,3
663,HD85091,Gaia DR3 613075249718020736,HD85091,HIP48215,-,TIC377041106,-,-,-,F8,RS*,147.4521,11.1064,175,,HIP48215,dG0+,7.62,,3.4,0.005,,,,,,,,,,COMPOSITE,,,,,160.5,0.05,,7.628,22.6729,44.106,0.855,,-,,1
664,HD86133,Gaia DR3 627699888238838272,HD86133,HIP48785,-,TIC239205079,-,-,J09570+1946A,G0,PM*,149.2592,19.7624,177,09570+1946,,,,,,,,,,,,,,,,COMPOSITE,,,,,,,,7.6,24.5016,40.814,0.895,,09570+1946,,1
665,HD86133,Gaia DR3 627699888238838272,HD86133,HIP48785,-,TIC239205079,-,-,J09570+1946A,G0,PM*,149.2592,19.7624,177,09570+1946,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.6,24.5016,40.814,0.895,,09570+1946,,2
666,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,G9V,5.1,16.9,,,,,,,,,,,,WDS_THE.csv,,0.06,,,,4.9,4.9,7.001,55.3291,18.074,0.855,0.0,09327+2659,,3
667,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,G9V,5.1,17.7,,,,,,,,,,,,WDS_THE.csv,,0.05,,,,8.2,9.8,7.001,55.3291,18.074,0.855,0.0,09327+2659,,4
668,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,G9V,5.1,19.0,,,,,,,,,,,,WDS_THE.csv,,0.03,,,,5.4,5.4,7.001,55.3291,18.074,0.855,0.0,09327+2659,,5
669,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.001,55.3291,18.074,0.855,,09327+2659,,2
670,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,G9V,5.1,18.35,,,,,,,,,,,,COMPOSITE,,0.04,,,,6.25,4.9,7.001,55.3291,18.074,0.855,0.0,09327+2659,,1
671,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,179,09327+2659,,G9V,5.1,19.0,,,,,,,,,,,,WDS_THE.csv,,0.03,,,,7.1,7.1,7.001,55.3291,18.074,0.855,0.0,09327+2659,,6
672,HD66348,Gaia DR3 653027276027556224,HD66348,HIP39418,-,TIC358089005,-,-,J08035+1211A,F8V,PM*,120.8697,12.1813,180,08035+1211,,F9V,6.79,10.8,,,,,,,,,,,,WDS_THE.csv,,0.51,,,,4.2,7.6,6.753,22.4416,44.56,1.295,2.49,08035+1211,,2
673,HD66348,Gaia DR3 653027276027556224,HD66348,HIP39418,-,TIC358089005,-,-,J08035+1211A,F8V,PM*,120.8697,12.1813,180,08035+1211,,F9V,6.79,10.8,,,,,,,,,,,,COMPOSITE,,0.51,,,,4.2,7.6,6.753,22.4416,44.56,1.295,2.49,08035+1211,,1
674,HD67789,Gaia DR3 653820298787662464,HD67789,HIP39999,-,TIC27510756,-,-,J08101+1430A,F5,PM*,122.5273,14.508,181,08101+1430,,F5,7.6,14.26,,,,,,,,,,,,WDS_THE.csv,,0.23,,,,6.6,7.0,7.59,18.7023,53.469,1.075,0.22,08101+1430,,2
675,HD67789,Gaia DR3 653820298787662464,HD67789,HIP39999,-,TIC27510756,-,-,J08101+1430A,F5,PM*,122.5273,14.508,181,08101+1430,,F5,8.4,8.4,,,,,,,,,,,,WDS_THE.csv,,1.08,,,,0.0,0.0,7.59,18.7023,53.469,1.075,100.0,08101+1430,,3
676,HD67789,Gaia DR3 653820298787662464,HD67789,HIP39999,-,TIC27510756,-,-,J08101+1430A,F5,PM*,122.5273,14.508,181,08101+1430,,F5,8.0,11.33,,,,,,,,,,,,COMPOSITE,,0.655,,,,3.3,7.0,7.59,18.7023,53.469,1.075,0.22,08101+1430,,1
677,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,HIP40167,F8V           ,4.92,6.25,1115.0,0.24,39.87,7.7,,,,,,,,Malkov+12,2012A&A...546A..69M,0.81,,,,,,6.042,41.1543,24.299,1.095,29.38,08122+1739,,5
678,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,,,,17.3,,,0.36,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,6.042,41.1543,24.299,1.095,,08122+1739,,2
679,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,,HIP40167,G5V+,6.2,,6302.0,0.12,,,,,,,,,,Pourbaix+04,2000Obs...120....1G,,,,307.0,14.47,,6.042,41.1543,24.299,1.095,,08122+1739,,13
680,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,HIP40167,M1            ,6.2,7.1,17.4,0.08,39.87,0.18,,,,,,,,Malkov+12,2012A&A...546A..69M,0.89,,,,,,6.042,41.1543,24.299,1.095,43.65,08122+1739,,6
681,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,HIP40167,F8V           ,4.92,6.25,1150.0,0.26,39.87,7.96,,,,,,,,Malkov+12,2012A&A...546A..69M,0.81,,,,,,6.042,41.1543,24.299,1.095,29.38,08122+1739,,7
682,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,HIP40167,,6.2,7.1,17.2,0.1,,,,144.1,,,,,,ORB6,JAA2023,0.89,68.62,1983.16,342.73,,,6.042,41.1543,24.299,1.095,43.65,08122+1739,,10
683,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,,4.67,,59.5,,,0.85,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,6.042,41.1543,24.299,1.095,,08122+1739,,3
684,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,HIP40167,F8V           ,5.3,6.25,59.5,0.32,39.87,0.88,,,,,,,,Malkov+12,2012A&A...546A..69M,0.88,,,,,,6.042,41.1543,24.299,1.095,41.69,08122+1739,,8
685,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,M1,6.2,7.1,,,,,,,,,,,,WDS_THE.csv,,0.89,,,,0.3,0.3,6.042,41.1543,24.299,1.095,43.65,08122+1739,,17
686,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,F8V,5.3,5.85,,,,,,,,,,,,WDS_THE.csv,,0.96,,,,3.3,6.2,6.042,41.1543,24.299,1.095,60.26,08122+1739,,15
687,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,F8V,5.3,6.25,,,,,,,,,,,,WDS_THE.csv,,0.88,,,,1.1,1.1,6.042,41.1543,24.299,1.095,41.69,08122+1739,,16
688,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,185,08122+1739,,F8V,6.25,5.85,,,,,,,,,,,,WDS_THE.csv,,1.2,,,,5.5,5.5,6.042,41.1543,24.299,1.095,144.54,08122+1739,,18
