,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,plx,distance,pmra,pmdec,gmag,bp_rp,bmag,vmag,rv_sys,season_length_1.5,eff_nights_1.5,eff_airmass_mean_1.5,eff_seeing_1.5,tyr_rise_1.5,tyr_set_1.5,season_length_1.75,eff_nights_1.75,eff_airmass_mean_1.75,eff_seeing_1.75,tyr_rise_1.75,tyr_set_1.75,SG_NGT_Jan,SG_NGT_Feb,SG_NGT_Mar,SG_NGT_Apr,SG_NGT_May,SG_NGT_Jun,SG_NGT_Jul,SG_NGT_Aug,SG_NGT_Sep,SG_NGT_Oct,SG_NGT_Nov,SG_NGT_Dec
647,HD220476,Gaia DR3 2630815941525069696,HD220476,HIP115527,-,TIC49673617,-,-,-,G5V,PM*,351.0264,-7.5508,32.8681,30.425,144.318,-4.188,7.453712,0.851554,8.236,7.62,4.08,206.0,158.0,1.2555,0.9816,2025.450685,2026.017808,226.0,175.0,1.2805,1.0031,2025.420548,2026.042466,0.817,0.0,0.0,0.0,0.089,1.54,3.735,5.546,5.683,5.683,5.102,3.162
648,HD218730,Gaia DR3 2631283474485026176,HD218730,HIP114424,-,TIC404243869,-,-,-,G0V,PM*,347.603,-7.812,27.2348,36.718,139.671,-135.795,7.18862,0.760132,7.895,7.33,2.06,206.0,159.0,1.2594,0.98,2025.442466,2026.009589,225.0,175.0,1.2823,0.9985,2025.412329,2026.031507,0.463,0.0,0.0,0.0,0.309,2.04,4.235,5.662,5.683,5.669,4.635,2.662
649,HD221356,Gaia DR3 2633449134434620288,HD221356,HIP116106,GJ9829,TIC250080475,-,-,J23315-0405A,F7V,PM*,352.8813,-4.0874,38.7113,25.832,178.13,-191.845,6.3626,0.711097,7.023,6.496,-12.47,213.0,163.0,1.2105,0.9661,2025.445205,2026.031507,231.0,178.0,1.2356,0.9865,2025.417808,2026.053425,1.016,0.0,0.0,0.0,0.174,1.774,3.968,5.923,6.15,6.15,5.366,3.396
650,HD217877,Gaia DR3 2635543704085589504,HD217877,HIP113896,-,TIC248052037,-,-,-,G0-V,PM*,345.9886,-4.7949,32.82,30.469,320.102,37.754,6.560435,0.74547,7.261,6.681,-12.58,212.0,164.0,1.2185,0.9614,2025.428767,2026.012329,232.0,181.0,1.2448,0.9823,2025.39863,2026.036986,0.581,0.0,0.0,0.0,0.426,2.224,4.418,5.998,6.05,6.003,4.818,2.846
651,HD217580,Gaia DR3 2636589099125426816,HD217580,HIP113718,GJ886,TIC278870306,-,-,-,K3V,SB*,345.4647,-3.8487,61.8341,16.172,402.754,-213.667,7.207799,1.12746,8.412,7.459,-43.59,215.0,167.0,1.2081,0.9574,2025.423288,2026.015068,233.0,182.0,1.2324,0.9763,2025.39589,2026.036986,0.616,0.0,0.0,0.0,0.461,2.274,4.468,6.088,6.15,6.09,4.868,2.896
652,12Psc,Gaia DR3 2643862402903084544,HD221146,HIP115951,-,TIC301329955,-,12Psc,-,G1V,*,352.3763,-1.0359,27.5348,36.318,-10.513,-24.287,6.736706,0.784787,7.517,6.881,-14.93,218.0,167.0,1.1764,0.9519,2025.436986,2026.036986,236.0,182.0,1.2031,0.9726,2025.409589,2026.058904,1.17,0.0,0.0,0.0,0.253,1.94,4.135,6.179,6.483,6.479,5.535,3.562
653,HD217107,Gaia DR3 2648914040357320576,HD217107,HIP113421,-,TIC38271828,-,-,J22583-0224AB,G8IV-V,**,344.5648,-2.3954,49.7846,20.087,-6.819,-15.04,5.996743,0.888338,6.895,6.155,-13.14,218.0,170.0,1.192,0.9493,2025.415068,2026.015068,236.0,185.0,1.2172,0.9684,2025.387671,2026.036986,0.701,0.0,0.0,0.0,0.548,2.39,4.585,6.292,6.383,6.288,4.985,3.012
654,HD218059,Gaia DR3 2662112268699428352,HD218059,HIP113980,-,TIC310919689,-,-,-,F5V,PM*,346.2507,4.2254,22.5031,44.438,154.14,-162.906,6.953797,0.630247,7.483,7.067,-4.95,228.0,178.0,1.1314,0.9257,2025.40411,2026.031507,244.0,191.0,1.1562,0.9438,2025.379452,2026.050685,0.928,0.0,0.0,0.0,0.779,2.657,4.852,6.748,6.933,6.726,5.268,3.296
655,HD209875,Gaia DR3 2682402931156166016,HD209875,HIP109144,-,TIC418913438,-,-,-,F6V,PM*,331.6382,1.8571,18.0721,55.334,340.374,190.731,7.117129,0.692184,7.768,7.244,-40.83,229.0,182.0,1.1508,0.9204,2025.365753,2025.990411,248.0,197.0,1.1775,0.9386,2025.332877,2026.015068,0.223,0.0,0.0,0.254,1.693,3.574,5.757,6.75,6.734,5.81,4.168,2.196
656,HD208776,Gaia DR3 2695668504585758592,HD208776,HIP108473,-,TIC418446470,-,-,J21585+0347A,G3V,SB*,329.6184,3.7769,22.9107,43.648,-249.092,-134.22,6.812403,0.755473,7.551,6.97,30.26,233.0,186.0,1.1351,0.9126,2025.354795,2025.990411,251.0,200.0,1.1606,0.9294,2025.321918,2026.012329,0.268,0.0,0.0,0.304,1.776,3.657,5.848,6.933,6.902,5.91,4.268,2.296
657,HD205702,Gaia DR3 2699514836778244992,HD205702,HIP106707,-,TIC353050719,-,-,-,F8,PM*,324.2221,5.8149,17.7063,56.477,-88.913,-117.356,7.491972,0.724983,8.171,7.62,-13.42,238.0,191.0,1.1197,0.9007,2025.330137,2025.979452,257.0,205.0,1.146,0.9191,2025.29726,2025.99863,0.11,0.0,0.004,0.792,2.359,4.24,6.373,7.1,6.825,5.493,3.852,1.879
658,HD215257,Gaia DR3 2704678521338819840,HD215257,HIP112229,-,TIC421999162,-,-,-,F5V,PM*,340.9613,3.8868,23.6251,42.328,150.456,333.617,7.292749,0.720853,7.926,7.421,-33.79,228.0,179.0,1.1328,0.9204,2025.390411,2026.017808,247.0,194.0,1.1616,0.9408,2025.360274,2026.039726,0.547,0.0,0.0,0.07,1.276,3.157,5.352,6.891,6.933,6.389,4.768,2.796
659,HD215778,Gaia DR3 2711537648534853248,HD215778,HIP112521,-,TIC422075701,-,-,-,F8,PM*,341.8744,5.8881,17.4307,57.37,85.585,-93.404,7.436897,0.633693,7.958,7.55,-1.32,231.0,181.0,1.1189,0.9154,2025.387671,2026.023288,248.0,195.0,1.1451,0.9338,2025.360274,2026.042466,1.001,0.0,0.0,0.001,0.859,2.74,4.935,6.881,7.1,6.847,5.352,3.379
660,HD215243,Gaia DR3 2717610530428304000,HD215243,HIP112222,-,TIC399547952,-,-,-,G8IV,SB*,340.928,10.9394,27.0654,36.948,-3.141,-152.537,6.401245,0.639379,6.989,6.513,-2.23,238.0,187.0,1.0896,0.9021,2025.373973,2026.028767,255.0,201.0,1.1168,0.921,2025.346575,2026.047945,0.738,0.0,0.0,0.183,1.559,3.44,5.635,7.378,7.481,6.677,5.035,3.062
661,HD211476,Gaia DR3 2733790256348020608,HD211476,HIP110035,GJ9777,TIC404487000,-,-,-,G2,PM*,334.3131,12.8985,32.6807,30.599,850.096,98.503,6.89919,0.771885,7.661,7.061,-25.39,243.0,193.0,1.0805,0.8928,2025.349315,2026.017808,260.0,206.0,1.1071,0.9102,2025.319178,2026.034247,0.79,0.0,0.0,0.217,1.626,3.507,5.702,7.49,7.609,6.743,5.102,3.129
662,HD225028A,Gaia DR3 2739059700184753280,HD225028A,-,-,-,-,-,J00028+0208A,-,PM*,0.6966,2.1302,23.3713,42.788,62.34,-93.353,7.213268,0.799183,0.0,7.338,-2.54,222.0,169.0,1.1476,0.9493,2025.450685,2026.061644,237.0,181.0,1.1712,0.9676,2025.428767,2026.080822,1.802,0.083,0.0,0.0,0.099,1.574,3.768,6.046,6.75,6.75,6.141,4.196
663,HD377,Gaia DR3 2745647973856851712,HD377,HIP682,-,TIC405187645,-,-,-,G2V,PM*,2.1073,6.6168,26.0386,38.405,87.525,-1.827,7.45048,0.78495,8.203,7.59,0.92,228.0,173.0,1.1142,0.9369,2025.445205,2026.072603,243.0,186.0,1.1397,0.9554,2025.423288,2026.091781,2.019,0.153,0.0,0.0,0.181,1.79,3.985,6.304,7.183,7.183,6.383,4.412
664,HD3861,Gaia DR3 2750176827892427904,HD3861,HIP3236,-,TIC401446825,-,-,J00412+0921A,F8V,PM*,10.2995,9.3551,29.9006,33.444,-122.734,-103.078,6.407355,0.661229,7.038,6.524,-14.72,229.0,172.0,1.0959,0.9374,2025.464384,2026.094521,244.0,185.0,1.1221,0.9552,2025.442466,2026.113699,2.585,0.433,0.0,0.0,0.045,1.374,3.568,5.914,7.316,7.333,6.876,4.979
665,HD222368,Gaia DR3 2756363608023588864,HD222368,HIP116771,GJ904,TIC419919445,-,17Psc+iotPsc,J23399+0538A,F7V,PM*,354.9877,5.6263,73.237,13.654,376.497,-436.76,3.999258,0.70513,4.617,4.127,5.98,227.0,174.0,1.1198,0.9306,2025.428767,2026.053425,243.0,188.0,1.1456,0.9493,2025.40411,2026.072603,1.469,0.017,0.0,0.0,0.449,2.257,4.452,6.628,7.1,7.044,5.835,3.862
666,HD223061,Gaia DR3 2759831021020366848,HD223061,HIP117236,-,TIC408374376,-,-,-,G0,PM*,356.5764,9.7851,23.3462,42.834,-50.405,-182.306,7.341516,0.747754,8.054,7.48,5.73,232.0,178.0,1.0944,0.9223,2025.426027,2026.064384,248.0,191.0,1.1216,0.9412,2025.40137,2026.083562,2.119,0.192,0.0,0.0,0.236,1.907,4.102,6.434,7.4,7.398,6.485,4.512
667,HD220773,Gaia DR3 2761142326076104192,HD220773,HIP115697,-,TIC354326161,-,-,-,G0,PM*,351.6144,8.6438,19.7796,50.557,27.096,-222.458,6.96189,0.764874,7.803,7.108,-37.71,232.0,179.0,1.1014,0.9191,2025.412329,2026.050685,248.0,193.0,1.1278,0.9379,2025.387671,2026.069863,1.585,0.035,0.0,0.0,0.522,2.357,4.552,6.769,7.317,7.232,5.952,3.979
668,HD3674,Gaia DR3 2775451336039913344,HD3674,HIP3119,-,TIC401443854,-,-,-,F8,PM*,9.9196,11.5323,19.6327,50.935,158.497,-12.11,7.312732,0.665662,7.879,7.43,0.12,232.0,175.0,1.0857,0.9327,2025.458904,2026.09726,247.0,187.0,1.1127,0.9506,2025.436986,2026.116438,2.702,0.508,0.0,0.0,0.069,1.474,3.668,6.014,7.516,7.55,7.02,5.096
669,HD8262,Gaia DR3 2786115533677290240,HD8262,HIP6405,-,TIC411629521,-,-,-,G2V,PM*,20.5745,18.6827,38.3495,26.076,557.985,-2.373,6.812192,0.796814,7.591,6.966,5.58,237.0,176.0,1.059,0.9299,2025.478082,2026.130137,252.0,189.0,1.0876,0.9461,2025.456164,2026.149315,3.919,1.604,0.066,0.0,0.0,0.718,2.885,5.231,7.413,7.983,7.878,6.312
670,HD6715,Gaia DR3 2790914111658905216,HD6715,HIP5335,-,TIC381270241,-,-,-,G5,PM*,17.052,21.977,30.7353,32.536,400.566,-46.7,7.450523,0.851082,8.349,7.61,-23.74,240.0,180.0,1.0529,0.9241,2025.464384,2026.124658,254.0,191.0,1.0789,0.9398,2025.445205,2026.143836,3.502,1.187,0.005,0.0,0.027,1.274,3.468,5.814,7.835,8.15,7.76,5.896
671,39Psc,Gaia DR3 2793413885704410112,HD1352,HIP1427,-,TIC52052933,-,39Psc,J00178+1620A,F6V,PM*,4.4583,16.331,21.2445,47.071,220.714,-27.972,7.101184,0.62731,7.631,7.21,8.63,238.0,181.0,1.0676,0.9198,2025.436986,2026.091781,253.0,194.0,1.0951,0.9379,2025.415068,2026.110959,2.819,0.59,0.0,0.0,0.11,1.607,3.802,6.147,7.742,7.8,7.164,5.212
672,HD1764,Gaia DR3 2793543245823732480,HD1764,HIP1736,-,TIC303241443,-,-,-,F5,PM*,5.4889,16.8769,15.795,63.311,71.528,-60.609,7.458986,0.647277,8.01,7.57,-31.65,238.0,181.0,1.0654,0.9199,2025.439726,2026.094521,253.0,193.0,1.0929,0.9378,2025.417808,2026.113699,2.852,0.614,0.0,0.0,0.121,1.64,3.835,6.181,7.802,7.867,7.203,5.246
673,HD483,Gaia DR3 2796824398974914944,HD483,HIP759,-,TIC395353076,-,-,-,G2III,SB*,2.331,17.5339,19.3683,51.631,3.174,-130.572,6.919242,0.793682,7.68,7.062,,238.0,182.0,1.0619,0.9145,2025.431507,2026.086301,254.0,195.0,1.0907,0.933,2025.406849,2026.105479,2.385,0.318,0.0,0.0,0.381,2.157,4.352,6.697,7.915,7.883,6.752,4.779
674,HD101,Gaia DR3 2797111130991722240,HD101,HIP493,-,TIC258868211,-,-,-,F8,PM*,1.4781,18.235,26.6978,37.456,-150.855,-147.978,7.318629,0.741892,7.974,7.45,-45.7,239.0,183.0,1.0602,0.9135,2025.428767,2026.086301,255.0,196.0,1.089,0.932,2025.40411,2026.105479,2.385,0.318,0.0,0.0,0.381,2.157,4.352,6.697,7.915,7.883,6.752,4.779
675,HD1832,Gaia DR3 2800690281858225408,HD1832,HIP1813,-,TIC238305920,-,-,-,F8,PM*,5.7509,22.375,24.6955,40.493,202.474,-221.061,7.422892,0.808092,8.223,7.57,-30.6,242.0,184.0,1.0526,0.9145,2025.434247,2026.1,258.0,198.0,1.0825,0.9327,2025.409589,2026.119178,3.002,0.729,0.0,0.0,0.174,1.774,3.968,6.314,8.044,8.15,7.366,5.396
676,54Psc,Gaia DR3 2802397960855105920,HD3651,HIP3093,GJ27,TIC434210589,-,54Psc,J00394+2115A,K0.5V,PM*,9.8409,21.2505,90.0248,11.108,-461.948,-369.624,5.654319,1.018104,6.744,5.884,-33.0,240.0,181.0,1.0535,0.9187,2025.447945,2026.108219,256.0,195.0,1.0835,0.9367,2025.423288,2026.127397,2.969,0.703,0.0,0.0,0.167,1.757,3.952,6.297,8.003,8.1,7.331,5.362
677,HD5294,Gaia DR3 2804011562888218240,HD5294,HIP4290,GJ42.1+GJ9032,TIC13961725,-,-,J00550+2406A,G5,PM*,13.747,24.1003,33.3998,29.94,-184.712,-179.607,7.263617,0.812767,8.052,7.416,-8.54,242.0,182.0,1.0505,0.9206,2025.453425,2026.119178,257.0,195.0,1.0789,0.9373,2025.431507,2026.138356,3.552,1.237,0.008,0.0,0.039,1.34,3.535,5.881,7.925,8.267,7.833,5.946
678,HD218687,Gaia DR3 2815542965962559488,HD218687,HIP114378,-,TIC218046124,-,-,J23100+1426A,G0V,PM*,347.4879,14.4266,39.7856,25.135,-121.596,-85.371,6.409186,0.766952,7.143,6.553,-18.37,239.0,186.0,1.0732,0.9022,2025.390411,2026.047945,256.0,200.0,1.1018,0.9217,2025.363014,2026.067123,1.269,0.002,0.0,0.039,1.159,3.04,5.235,7.328,7.683,7.232,5.635,3.662
679,HD218133,Gaia DR3 2815678171532956288,HD218133,HIP114028,-,TIC217856007,-,-,-,G0,PM*,346.3798,14.4517,25.0718,39.885,386.336,91.025,6.963414,0.747048,7.659,7.1,-49.34,239.0,187.0,1.0726,0.9007,2025.387671,2026.045205,256.0,201.0,1.1008,0.92,2025.360274,2026.064384,1.269,0.002,0.0,0.039,1.159,3.04,5.235,7.328,7.683,7.232,5.635,3.662
680,HD219172,Gaia DR3 2817129458162461056,HD219172,HIP114670,-,TIC97187032,-,-,-,F8V,PM*,348.451,15.3676,21.7568,45.963,23.433,-71.664,7.248735,0.694939,7.917,7.37,-2.77,241.0,188.0,1.0716,0.9036,2025.390411,2026.053425,256.0,200.0,1.0973,0.9206,2025.365753,2026.069863,1.302,0.003,0.0,0.047,1.193,3.074,5.268,7.376,7.75,7.273,5.668,3.696
681,HD221914,Gaia DR3 2821292758941963776,HD221914,HIP116478,-,TIC434284083,-,-,-,G6,SB*,354.025,18.4426,28.9344,34.561,672.542,220.726,7.468741,0.865207,8.338,7.647,-22.42,242.0,187.0,1.0616,0.906,2025.40411,2026.069863,257.0,200.0,1.0883,0.923,2025.379452,2026.086301,1.885,0.107,0.0,0.0,0.779,2.657,4.852,7.148,7.917,7.709,6.252,4.279
682,HD220334A,Gaia DR3 2825753374536867584,HD220334A,-,-,TIC243126547,-,-,J23228+2034A,G0V,PM*,350.7028,20.5589,25.7667,38.81,315.125,-11.002,6.532493,0.780761,7.288,6.633,-25.97,245.0,190.0,1.0574,0.9006,2025.390411,2026.064384,260.0,203.0,1.0837,0.9176,2025.365753,2026.080822,1.969,0.135,0.0,0.001,0.876,2.757,4.952,7.263,8.1,7.837,6.335,4.362
683,HD218261,Gaia DR3 2831490694929214464,HD218261,HIP114096,-,TIC245367276,-,-,-,F6V,PM*,346.6328,19.9109,34.0772,29.345,286.89,5.057,6.314315,0.700222,6.976,6.437,-0.94,245.0,191.0,1.0578,0.8958,2025.379452,2026.053425,262.0,205.0,1.0867,0.9153,2025.352055,2026.072603,1.452,0.016,0.0,0.092,1.343,3.224,5.418,7.588,8.05,7.448,5.818,3.846
684,HD217813,Gaia DR3 2832641058969396864,HD217813,HIP113829,GJ2153,TIC245325810,-,-,-,G1V,BY*,345.7708,20.9186,41.1604,24.295,-117.123,-28.53,6.509276,0.783836,7.237,6.636,1.48,245.0,192.0,1.0542,0.8927,2025.376712,2026.050685,263.0,206.0,1.0845,0.9127,2025.346575,2026.069863,1.485,0.02,0.0,0.098,1.359,3.24,5.435,7.617,8.1,7.484,5.852,3.879
685,HD217924,Gaia DR3 2832735823127881088,HD217924,HIP113884,-,TIC245327925,-,-,-,G0V,SB*,345.9608,21.5983,35.4124,28.239,-37.07,-74.767,7.071385,0.792723,8.121,7.22,18.17,247.0,193.0,1.0552,0.894,2025.373973,2026.053425,264.0,207.0,1.0841,0.9136,2025.346575,2026.072603,1.502,0.022,0.0,0.11,1.393,3.274,5.468,7.657,8.15,7.504,5.868,3.896
686,HD216625,Gaia DR3 2835052150531041920,HD216625,HIP113086,-,TIC435845665,-,-,-,F8,PM*,343.5309,19.892,23.9117,41.821,-65.356,-142.106,6.897897,0.673926,7.539,7.02,11.07,246.0,193.0,1.0579,0.8919,2025.368493,2026.045205,263.0,207.0,1.0861,0.9114,2025.341096,2026.064384,1.452,0.016,0.0,0.092,1.343,3.224,5.418,7.588,8.05,7.448,5.818,3.846
687,51Peg,Gaia DR3 2835207319109249920,HD217014,HIP113357,GJ882,TIC139298196,-,51Peg,J22575+2046A,G2IV,PM*,344.3666,20.7688,64.4048,15.527,207.328,61.164,5.283212,0.828593,6.104,5.453,-33.24,246.0,193.0,1.0554,0.8919,2025.371233,2026.047945,264.0,207.0,1.0857,0.912,2025.341096,2026.067123,1.485,0.02,0.0,0.098,1.359,3.24,5.435,7.617,8.1,7.484,5.852,3.879
688,HD225097,Gaia DR3 2846469822870413696,HD225097,HIP276,-,TIC238301314,-,-,-,G0,SB*,0.8581,20.6655,14.5756,68.608,58.692,-156.408,7.341593,0.79231,8.104,7.49,-31.51,241.0,185.0,1.0547,0.91,2025.423288,2026.086301,257.0,198.0,1.0835,0.9285,2025.39863,2026.105479,2.469,0.364,0.0,0.0,0.449,2.257,4.452,6.797,8.094,8.044,6.835,4.862
689,85Peg,Gaia DR3 2853900872207888768,HD224930,HIP171,GJ914A+GJ914B,TIC117956546,-,85Peg,J00022+2705AB,G5VbFe-2,SB*,0.5431,27.0818,81.179,12.318,716.46,-941.497,5.595876,0.929018,0.0,5.695,-35.57,246.0,189.0,1.0487,0.9081,2025.415068,2026.091781,262.0,202.0,1.0775,0.926,2025.390411,2026.110959,2.635,0.464,0.0,0.0,0.561,2.407,4.602,6.947,8.393,8.316,7.002,5.029
690,HD2330,Gaia DR3 2855866348024648320,HD2330,HIP2174,-,TIC440657017,-,-,-,F8,PM*,6.8612,26.2788,16.3099,61.312,70.915,-71.492,7.434812,0.723111,8.143,7.56,-8.68,244.0,185.0,1.0484,0.914,2025.434247,2026.105479,260.0,199.0,1.078,0.9317,2025.409589,2026.124658,3.102,0.811,0.0,0.0,0.219,1.874,4.068,6.414,8.21,8.349,7.468,5.496
691,HD166,Gaia DR3 2860924621205256704,HD166,HIP544,GJ5,TIC238432056,-,-,J00066+2901A,G8V,BY*,1.6533,29.0215,72.6419,13.766,380.159,-177.73,5.878327,0.917002,6.852,6.1,-6.59,247.0,189.0,1.0495,0.9092,2025.415068,2026.094521,263.0,203.0,1.0783,0.927,2025.390411,2026.113699,2.669,0.486,0.0,0.0,0.602,2.457,4.652,6.997,8.471,8.381,7.035,5.062
692,HD222033,Gaia DR3 2871126646003024384,HD222033,HIP116542,-,TIC326448025,-,-,-,G0V,PM*,354.2776,30.678,19.8972,50.258,188.073,77.904,7.066088,0.767035,7.81,7.197,-13.06,249.0,193.0,1.0491,0.9014,2025.393151,2026.078082,267.0,208.0,1.0807,0.9208,2025.363014,2026.09726,2.219,0.236,0.0,0.028,1.109,2.99,5.185,7.526,8.583,8.169,6.585,4.612
693,HD221830,Gaia DR3 2871338405072089088,HD221830,HIP116421,-,TIC366036237,-,-,J23355+3101A,G2,PM*,353.8704,31.0172,30.1162,33.205,540.206,254.29,6.705423,0.795478,7.748,6.869,-112.09,250.0,194.0,1.0504,0.9019,2025.390411,2026.078082,267.0,208.0,1.08,0.9206,2025.363014,2026.09726,2.219,0.236,0.0,0.028,1.109,2.99,5.185,7.526,8.583,8.169,6.585,4.612
694,HD224636,Gaia DR3 2875096978193654528,HD224636,-,-,-,-,-,J23595+3343B,G1,PM*,359.8717,33.7244,33.9116,29.488,-47.407,-78.939,6.537422,0.78494,0.0,6.635,,250.0,192.0,1.0541,0.9109,2025.406849,2026.094521,267.0,207.0,1.0845,0.929,2025.379452,2026.113699,2.785,0.566,0.0,0.0,0.688,2.557,4.752,7.097,8.667,8.556,7.152,5.179
695,HD224635,Gaia DR3 2875096978193873024,HD224635,-,-,-,-,-,J23595+3343A,F8,PM*,359.872,33.7239,33.9226,29.479,-62.565,-109.914,6.342637,0.702966,0.0,6.432,,250.0,192.0,1.0541,0.9109,2025.406849,2026.094521,267.0,207.0,1.0845,0.929,2025.379452,2026.113699,2.785,0.566,0.0,0.0,0.688,2.557,4.752,7.097,8.667,8.556,7.152,5.179
696,HD400,Gaia DR3 2877522230262577024,HD400,HIP699,GJ6,TIC194303203,-,-,-,F8IV,PM*,2.1706,36.6271,30.6686,32.607,-114.128,-124.518,6.082332,0.675087,0.0,6.175,-15.1,250.0,192.0,1.0591,0.9157,2025.412329,2026.1,268.0,207.0,1.0907,0.9349,2025.384932,2026.121918,2.835,0.602,0.0,0.0,0.732,2.607,4.802,7.147,8.755,8.633,7.202,5.229
697,HD35850,Gaia DR3 3009908378049913216,HD35850,HIP25486,-,TIC94945758,-,-,-,F8V(n)k:,RS*,81.7698,-11.901,37.2539,26.843,16.915,-49.318,6.209527,0.736163,6.854,6.332,20.61,193.0,130.0,1.3252,1.1704,2025.686301,2026.217808,214.0,146.0,1.3465,1.1548,2025.656164,2026.245205,5.117,4.148,1.901,0.125,0.0,0.0,0.0,0.216,2.099,4.334,5.117,5.117
698,HD38277A,Gaia DR3 3011850012504392960,HD38277A,HIP27058,-,TIC279696912,-,-,J05443-1001A,G1V,PM*,86.0733,-10.0167,26.4246,37.844,65.837,-143.823,6.970327,0.781739,7.727,7.129,32.61,198.0,133.0,1.2927,1.151,2025.689041,2026.234247,218.0,149.0,1.3158,1.138,2025.661644,2026.261644,5.416,4.304,2.051,0.179,0.0,0.0,0.0,0.285,2.249,4.509,5.417,5.417
699,HD36379,Gaia DR3 3013570610764491520,HD36379,HIP25840,-,TIC34507428,-,-,-,G2V,PM*,82.7498,-10.0811,24.3859,41.007,160.255,-315.213,6.811858,0.728552,7.513,6.952,23.2,198.0,134.0,1.2939,1.1484,2025.680822,2026.226027,218.0,149.0,1.317,1.1356,2025.653425,2026.253425,5.416,4.304,2.051,0.179,0.0,0.0,0.0,0.285,2.249,4.509,5.417,5.417
700,HD40397,Gaia DR3 3022685626580347392,HD40397,HIP28267,GJ3376,TIC39543054,-,-,J05584-0439A,F7V,PM*,89.5897,-4.6507,41.5366,24.075,74.849,-200.354,6.823622,0.893435,7.707,6.996,143.25,210.0,142.0,1.2172,1.0986,2025.680822,2026.258904,226.0,155.0,1.2402,1.0911,2025.658904,2026.280822,6.05,5.112,2.867,0.639,0.0,0.0,0.0,0.202,2.066,4.348,5.985,6.05
701,HD38858,Gaia DR3 3023711269067191296,HD38858,HIP27435,GJ1085,TIC176521059,-,-,-,G2V,PM*,87.1456,-4.0946,65.7446,15.21,61.427,-229.291,5.805881,0.81631,6.6,5.96,31.61,211.0,143.0,1.2105,1.0916,2025.672603,2026.253425,228.0,156.0,1.2358,1.0846,2025.650685,2026.278082,6.15,5.166,2.917,0.676,0.0,0.0,0.0,0.223,2.116,4.398,6.073,6.15
702,HD59438A,Gaia DR3 3028617461760208128,HD59438A,-,-,-,-,-,J07294-1500A,F6,PM*,112.3411,-14.9987,27.4087,36.485,-184.411,-228.085,6.232179,0.708561,0.0,6.313,,183.0,123.0,1.3868,1.2335,2025.773973,2026.278082,206.0,140.0,1.4046,1.2122,2025.741096,2026.308219,4.633,4.633,3.639,1.34,0.011,0.0,0.0,0.0,0.225,2.148,4.259,4.633
703,HD60718,Gaia DR3 3030249892927097600,HD60718,-,-,TIC405164570,-,-,-,F7/G0V,PM*,113.8358,-14.0475,13.4343,74.436,-86.077,-87.45,7.494987,0.772592,8.216,7.631,30.49,186.0,125.0,1.3665,1.2187,2025.771233,2026.283562,209.0,142.0,1.3866,1.1992,2025.741096,2026.316438,4.8,4.8,3.729,1.424,0.021,0.0,0.0,0.0,0.263,2.232,4.377,4.8
704,HD60552,Gaia DR3 3030303665919123328,HD60552,HIP36836,-,TIC405046988,-,-,J07345-1352A,F7II/III,PM*,113.6205,-13.8702,21.6494,46.191,-74.838,84.629,6.597728,0.636426,0.0,6.674,12.21,187.0,126.0,1.3631,1.2156,2025.771233,2026.286301,209.0,142.0,1.3826,1.1972,2025.741096,2026.316438,4.8,4.8,3.729,1.424,0.021,0.0,0.0,0.0,0.263,2.232,4.377,4.8
705,5Pup,Gaia DR3 3036768068439044608,HD63336,HIP38048,-,TIC334453577,-,5Pup,J07479-1212AB,F5.5V,**,116.9863,-12.1927,34.7221,28.8,-106.436,78.228,5.566444,0.669652,6.118,5.479,27.35,192.0,130.0,1.3306,1.1917,2025.771233,2026.3,212.0,145.0,1.3507,1.177,2025.743836,2026.327397,5.133,5.133,4.353,2.09,0.196,0.0,0.0,0.0,0.128,1.898,4.225,5.133
706,HD66488,Gaia DR3 3039796780587564032,HD66488,HIP39425,-,TIC169972229,-,-,J08035-0810A,F7V,*,120.8838,-8.1734,18.8445,53.066,-22.994,43.101,7.313592,0.644935,7.879,7.43,40.39,201.0,137.0,1.2635,1.1442,2025.768493,2026.321918,219.0,151.0,1.2857,1.1345,2025.743836,2026.346575,5.7,5.7,4.676,2.374,0.326,0.0,0.0,0.0,0.24,2.182,4.53,5.7
707,HD62128,Gaia DR3 3039938583230568960,HD62128,HIP37520,-,TIC62355113,-,-,-,G3V,PM*,115.5082,-11.8527,18.877,52.975,-26.753,45.889,7.379514,0.826179,8.217,7.53,105.95,193.0,130.0,1.3244,1.187,2025.765753,2026.29726,214.0,146.0,1.3467,1.1723,2025.738356,2026.327397,5.133,5.132,3.901,1.59,0.048,0.0,0.0,0.0,0.349,2.398,4.607,5.133
708,HD62816,Gaia DR3 3040589665910761344,HD62816,HIP37844,-,TIC31774464,-,-,-,F5V,*,116.3718,-10.1607,17.5245,57.063,8.873,-1.276,7.439514,0.620664,8.012,7.55,-3.79,197.0,134.0,1.2949,1.1661,2025.763014,2026.305479,217.0,149.0,1.3181,1.1537,2025.735616,2026.332877,5.433,5.433,4.528,2.24,0.26,0.0,0.0,0.0,0.183,2.048,4.391,5.433
