,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,plx,distance,pmra,pmdec,gmag,bp_rp,bmag,vmag,rv_sys,season_length_1.5,eff_nights_1.5,eff_airmass_mean_1.5,eff_seeing_1.5,tyr_rise_1.5,tyr_set_1.5,season_length_1.75,eff_nights_1.75,eff_airmass_mean_1.75,eff_seeing_1.75,tyr_rise_1.75,tyr_set_1.75,SG_NGT_Jan,SG_NGT_Feb,SG_NGT_Mar,SG_NGT_Apr,SG_NGT_May,SG_NGT_Jun,SG_NGT_Jul,SG_NGT_Aug,SG_NGT_Sep,SG_NGT_Oct,SG_NGT_Nov,SG_NGT_Dec
47,HD25768,Gaia DR3 162480953568960256,HD25768,HIP19136,-,TIC348870795,-,-,-,F8,SB*,61.519,26.2118,18.3367,54.535,-49.705,-25.846,7.426944,0.682177,8.058,7.55,-13.91,242.0,171.0,1.0484,0.9507,2025.571233,2026.236986,256.0,183.0,1.0763,0.9548,2025.552055,2026.256164,6.585,4.271,2.017,0.166,0.0,0.0,0.663,2.931,5.216,7.471,8.35,8.294
48,HD26161,Gaia DR3 169149766470219520,HD26161,HIP19428,-,TIC467753728,-,-,J04096+3139A,G0,PM*,62.4119,31.6521,24.4461,40.906,64.384,70.055,6.759808,0.699886,7.423,6.893,13.2,245.0,173.0,1.0506,0.9502,2025.568493,2026.242466,259.0,185.0,1.0785,0.9544,2025.549315,2026.261644,6.735,4.421,2.167,0.227,0.0,0.0,0.766,3.064,5.349,7.622,8.633,8.544
49,HD30708,Gaia DR3 174156255225869440,HD30708,HIP22576,-,TIC96211765,-,-,-,G5,PM*,72.8727,35.8151,33.2938,30.036,20.606,-117.851,6.617842,0.838979,7.458,6.786,-55.68,246.0,172.0,1.0561,0.9601,2025.593151,2026.269863,261.0,185.0,1.0859,0.9616,2025.571233,2026.289041,7.788,5.487,3.234,0.937,0.0,0.0,0.211,2.147,4.432,6.715,8.604,8.783
50,HD29645,Gaia DR3 175618983647633920,HD29645,HIP21847,-,TIC156157340,-,-,-,F9IV-V,PM*,70.4594,38.2802,31.5522,31.694,241.256,-98.297,5.832274,0.742001,6.553,5.979,46.92,247.0,174.0,1.063,0.961,2025.584932,2026.264384,263.0,187.0,1.0945,0.9637,2025.563014,2026.286301,7.335,5.021,2.767,0.567,0.0,0.0,0.49,2.681,4.966,7.248,8.806,8.835
51,HD28620,Gaia DR3 178112641659509760,HD28620,HIP21167,-,TIC155401087,-,-,-,F5,*,68.0719,37.0432,22.0334,45.386,29.841,-7.684,6.668482,0.664327,7.251,6.811,20.69,247.0,174.0,1.0602,0.9579,2025.579452,2026.258904,263.0,187.0,1.0921,0.9613,2025.557534,2026.280822,7.319,5.004,2.751,0.556,0.0,0.0,0.48,2.664,4.949,7.232,8.776,8.803
52,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,J05280+3346A,F7V,PM*,82.0039,33.7637,29.1933,34.254,19.78,-209.534,6.296463,0.641134,6.889,6.41,12.27,245.0,171.0,1.0519,0.9646,2025.615068,2026.289041,261.0,184.0,1.0844,0.9654,2025.593151,2026.310959,8.138,5.954,3.701,1.39,0.017,0.0,0.047,1.614,3.899,6.182,8.313,8.717
53,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,37.8953,26.388,-144.922,-136.772,6.3506,0.695276,6.994,6.489,-1.88,247.0,173.0,1.0607,0.9653,2025.60411,2026.283562,262.0,185.0,1.0908,0.966,2025.582192,2026.30274,7.806,5.504,3.251,0.952,0.0,0.0,0.218,2.164,4.449,6.732,8.631,8.817
54,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,79.6021,12.562,520.569,-664.488,4.525885,0.790791,5.305,4.701,66.53,247.0,173.0,1.068,0.9702,2025.606849,2026.286301,263.0,186.0,1.0992,0.9709,2025.584932,2026.308219,8.268,6.054,3.801,1.49,0.03,0.0,0.069,1.714,3.999,6.282,8.454,8.917
55,HD36929A,Gaia DR3 194405990937384064,HD36929A,-,-,-,-,-,J05371+4150A,-,*,84.28,41.8283,22.8408,43.781,2.751,-32.441,7.261453,0.674582,0.0,7.344,,247.0,172.0,1.0738,0.9766,2025.617808,2026.29726,264.0,187.0,1.107,0.9763,2025.593151,2026.319178,8.311,6.087,3.834,1.524,0.035,0.0,0.078,1.747,4.032,6.315,8.5,8.983
56,HD31500A,Gaia DR3 199279271288398720,HD31500A,HIP23100,-,TIC121298627,-,-,J04582+4003A,F5,PM*,74.5541,40.0569,20.6694,48.381,60.25,-101.815,7.122165,0.648045,7.795,7.21,32.73,248.0,174.0,1.0694,0.9664,2025.593151,2026.275342,264.0,187.0,1.1012,0.9683,2025.571233,2026.29726,7.86,5.554,3.301,0.997,0.0,0.0,0.24,2.214,4.499,6.782,8.711,8.917
57,HD29587,Gaia DR3 204358907633155840,HD29587,HIP21832,-,TIC391095065,-,-,-,G2V,SB*,70.4013,42.1184,36.647,27.287,534.631,-414.946,7.111868,0.819714,7.923,7.294,112.67,247.0,174.0,1.0749,0.9677,2025.584932,2026.264384,265.0,189.0,1.1094,0.9704,2025.560274,2026.289041,7.402,5.087,2.834,0.615,0.0,0.0,0.534,2.747,5.032,7.315,8.926,8.96
58,HD37008,Gaia DR3 215395053733297024,HD37008,HIP26505,GJ3358,TIC310872966,-,-,-,K1V,PM*,84.5494,51.4457,48.9274,20.438,-549.977,107.573,7.485914,1.045487,8.571,7.74,-45.9,247.0,172.0,1.1267,1.006,2025.617808,2026.29726,267.0,189.0,1.1622,1.0041,2025.590411,2026.324658,8.436,6.187,3.934,1.624,0.055,0.0,0.105,1.847,4.132,6.415,8.635,9.183
